Name,user_ratings_total,category,rating,Latitude,Longitude,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence
Maceo Spice & Import Company,564,restaurant,4.7,29.3042052,-94.7988412,1050,420,1050,"2706 Market Street, Galveston",POINT (-94.7988412 29.3042052),Fan,High,No,Med
BLVD Seafood (all of Yagas Entertainment),2158,restaurant,4.5,29.2865539,-94.7939604,400,105,400,"2804 Avenue R 1/2, Galveston",POINT (-94.7939604 29.2865539),Skeptical,High,No,High
Galveston College,65,university,4.4,29.2840785,-94.8084945,20,20,20,"4015 Avenue Q, Galveston",POINT (-94.8084945 29.2840785),Curious,High,No,High
Galveston College Charlie Thomas Family Applied Technology Center,9,university,5,29.2876496,-94.8567631,0,0,1875,"7626 Broadway Street, Galveston",POINT (-94.8567631 29.2876496),Skeptical,High,No,Med
Galveston Country club,88,restaurant,4.5,29.28896,-94.8627,500,100,500,"14888 Stewart rd Galveston, TX 77554",POINT (-94.8627 29.28896),Curious,High,Yes,Med
Mr. C's Dugout @Galveston College,2,restaurant,3,29.284711,-94.807822,,,93.75,"Student Center, 4015 Avenue Q, Galveston",POINT (-94.807822 29.284711),Curious,High,No,High
Galveston Bagel Company,140,bakery,4.7,29.2989118,-94.7913851,2100,1750,2100,"1110 23rd Street, Galveston",POINT (-94.7913851 29.2989118),Curious,High,Yes,Low
Shykatz,930,cafe,4.6,29.3005619,-94.7832253,800,500,800,"1528 Avenue L, Galveston",POINT (-94.7832253 29.3005619),Curious,High,Yes,Med
Cajun Greek,999,restaurant,4,29.2769392,-94.8316408,50,25,50,"2226 61st St Galveston, TX 77551",POINT (-94.8316408 29.2769392),Curious,High,Yes,Med
Leeland House Galveston,51,bar,4.6,29.3038963,-94.7988738,140,70,140,"2711 Market Street, Galveston",POINT (-94.7988738 29.3038963),Skeptical,High,Yes,Med
Red Light Coffee Roasters,305,cafe,4.6,29.3040468,-94.7995497,150,100,150,"2728 Market Street, Galveston",POINT (-94.7995497 29.3040468),Curious,High,Yes,Med
Gaido's,5568,restaurant,4.4,29.2796255,-94.8045,140,0,140,"3828 Seawall Boulevard, Galveston",POINT (-94.8045 29.2796255),Curious,High,Yes,High
Eatcetera,299,restaurant,4.5,29.3044994,-94.795793,42,42,42,"408 25th Street, Galveston",POINT (-94.795793 29.3044994),Raving Fan,High,Yes,Med
Star Drug Store,1247,restaurant,4.5,29.304249,-94.7931581,140,35,140,"510 23rd Street, Galveston",POINT (-94.7931581 29.304249),Curious,High,Yes,Low
The Sunflower Bakery & Cafe,3947,cafe,4.6,29.3070498,-94.7829794,350,350,350,"512 14th Street, Galveston",POINT (-94.7829794 29.3070498),Skeptical,High,Yes,High
Mosquito Cafe,2625,restaurant,4.4,29.3057145,-94.7825488,300,150,300,"628 14th Street, Galveston",POINT (-94.7825488 29.3057145),Fan,High,Yes,High
PattyCakes Bakery,317,bakery,4.2,29.3054245,-94.78242,0,0,150,"704 14th Street, Galveston",POINT (-94.78242 29.3054245),Fan,High,Yes,High
Sapori,365,restaurant,4.5,29.2592634,-94.8412938,0,0,93.75,"7611 Stewart Road, Galveston",POINT (-94.8412938 29.2592634),Curious,High,Yes,Low
galveston vfw hall,18,restaurant,4.8,29.2990826,-94.7925989,,,93.75,"1014 24th Street Rear, Galveston",POINT (-94.7925989 29.2990826),Skeptical,Med,No,Low
Cooper's Landing,219,restaurant,4.3,29.2407199,-94.8780445,700,280,700,"11150 Termini-San Luis Pass Road, Galveston",POINT (-94.8780445 29.2407199),Skeptical,Med,No,Low
Cruise Plaza,82,restaurant,4.2,29.3090318,-94.7897517,140,70,140,"112 19th Street, Galveston",POINT (-94.7897517 29.3090318),Skeptical,Med,No,Low
Panda Express,10,restaurant,2,29.2755,-94.83056,3360,3360,3360,"11745 San Luis Pass Rd Galveston, TX 77554",POINT (-94.83056 29.2755),Skeptical,Med,No,Low
Mr. Taco,,restaurant,,29.308418,-94.7909307,0,0,93.75,"120 20th Street, Galveston",POINT (-94.7909307 29.308418),Curious,Med,No,Low
Benno's Cajun Seafood Restaurant,3094,restaurant,4.1,29.2981818,-94.7781673,500,100,500,"1212 Seawall Boulevard, Galveston",POINT (-94.7781673 29.2981818),Skeptical,Med,No,Med
Bambú,780,restaurant,4.5,29.2976696,-94.7909648,1050,150,1050,"1220 23rd Street, Galveston",POINT (-94.7909648 29.2976696),Skeptical,Med,No,Low
Lil’ Buffalo Grille,216,restaurant,4.8,29.2610884,-94.8706411,350,35,350,"13 Evia Main, Galveston",POINT (-94.8706411 29.2610884),Curious,Med,No,Low
Saltgrass Steak House,3775,restaurant,4.4,29.296032,-94.7808646,,,656.25,"1502 Seawall Boulevard, Galveston",POINT (-94.7808646 29.296032),Skeptical,Med,No,High
Chef Mary Bass,52,caterer,4.8,29.2905544,-94.8085834,,,112.5,"1510 39th Street, Galveston",POINT (-94.8085834 29.2905544),Curious,Med,No,Med
Nick's,4,restaurant,3.5,29.2894221,-94.8085269,,,93.75,"1613 39th Street, Galveston",POINT (-94.8085269 29.2894221),Skeptical,Med,No,High
Longboard Pool Bar,292,bar,4.1,29.2944602,-94.7828729,,,140.625,"1702 Seawall Boulevard, Galveston",POINT (-94.7828729 29.2944602),Skeptical,Med,No,High
Pennies Tex Mex Take Out,391,restaurant,4.7,29.2891349,-94.8059756,350,105,350,"1713 37th Street, Galveston",POINT (-94.8059756 29.2891349),Curious,Med,No,Low
Nate's Westend Seafood & Steaks,1470,restaurant,4,29.1752194,-94.9850694,,,93.75,"17515 Termini-San Luis Pass Road, Galveston",POINT (-94.9850694 29.1752194),Skeptical,Med,No,Low
Fish Company Taco,368,restaurant,4.8,29.2918404,-94.7889025,100,50,100,"1914 23rd Street, Galveston",POINT (-94.7889025 29.2918404),Skeptical,Med,No,Low
Katie's Seafood House,3045,restaurant,4.6,29.3100166,-94.7912952,210,35,210,"2000 Wharf Road, Galveston",POINT (-94.7912952 29.3100166),Curious,Med,No,High
Saltwater Grill,653,restaurant,4.4,29.3050765,-94.790643,280,70,280,"2017 Postoffice Street, Galveston",POINT (-94.790643 29.3050765),Skeptical,Med,No,High
Drunken Monkeyz,324,bar,4.3,29.3079594,-94.790723,0,0,1125,"202 20th Street, Galveston",POINT (-94.790723 29.3079594),Skeptical,Med,No,Low
Hubcap Grill,1268,bar,4.3,29.3076238,-94.791623,420,140,420,"2021 The Strand #3, Galveston",POINT (-94.791623 29.3076238),Skeptical,Med,No,Med
Monarch Restaurant,5,restaurant,3.2,29.2925893,-94.7863581,0,0,93.75,"2024 Seawall Boulevard, Galveston",POINT (-94.7863581 29.2925893),Cuirous,Med,No,Not open yet
Galvez Bar & Grill,505,restaurant,4.3,29.2928214,-94.7863059,415,210,415,"2024 Seawall Boulevard, Galveston",POINT (-94.7863059 29.2928214),Skeptical,Med,No,Med
Willie G's Seafood & Steaks,3060,restaurant,4.3,29.309303,-94.792803,3500,500,3500,"2100 Harborside Drive, Galveston",POINT (-94.792803 29.309303),Skeptical,Med,No,High
Taquilo's Tex-Mex,1427,restaurant,4.3,29.3049299,-94.791404,420,140,420,"2101 Postoffice St, Galveston",POINT (-94.791404 29.3049299),Skeptical,Med,No,High
Sky Bar,378,restaurant,4.3,29.3049316,-94.7914472,210,70,210,"2105 Postoffice St, Galveston",POINT (-94.7914472 29.3049316),Skeptical,Med,No,High
Little Daddy’s Gumbo Bar - Galveston,1634,restaurant,4.5,29.304882,-94.7914734,1050,175,1050,"2107 Postoffice Street, Galveston",POINT (-94.7914734 29.304882),Skeptical,Med,No,High
Schlitterbahn Waterpark Galveston,4957,amusement_park,4.3,29.2703671,-94.8517369,,,5500,"2109 Gene Lucas Blvd, Galveston",POINT (-94.8517369 29.2703671),Skeptical,Med,No,Med
Hey Mikey's Ice Cream,818,cafe,4.6,29.3051204,-94.79194,,,625,"2120 Postoffice St, Galveston",POINT (-94.79194 29.3051204),Skeptical,Med,No,High
Vintage Crown Michelada Bar & Taqueria,207,bar,4.6,29.3065367,-94.7944665,,,140.625,"215 23rd Street, Galveston",POINT (-94.7944665 29.3065367),Skeptical,Med,No,Low
The West End Marina and Restaurants,803,bar,4.1,29.1449947,-95.0470457,300,150,300,"21706 Burnet Drive, Galveston",POINT (-95.0470457 29.1449947),Skeptical,Med,No,Med
Fisherman's Wharf,5747,restaurant,4.4,29.3089314,-94.7936367,700,140,700,"2200 Harborside Drive, Galveston",POINT (-94.7936367 29.3089314),Skeptical,Med,No,High
Axecade,113,restaurant,4.8,29.3070637,-94.7941601,2100,300,2100,"2217 Strand St Second Floor 217, 2217 The Strand Suite 217, Galveston",POINT (-94.7941601 29.3070637),Skeptical,Med,No,Low
Britton's Bistro (Murdocks),2,restaurant,4.5,29.3131588,-94.81892221,,,750,"2226 71st St Galveston, TX 77551",POINT (-94.8189222054326 29.3131588001007),Curious,Med,No,Med
Tsunami Tequila Emporium,165,bar,4.1,29.3072052,-94.7951202,0,0,140.625,"2314 The Strand, Galveston",POINT (-94.7951202 29.3072052),Skeptical,Med,No,High
Playground Patio Bar & Grill,216,bar,4.4,29.30667,-94.795242,,,140.625,"2325 The Strand, Galveston",POINT (-94.795242 29.30667),Skeptical,Med,No,Low
Press Box,320,bar,4.4,29.3040367,-94.7948097,70,10,70,"2401 Postoffice Street, Galveston",POINT (-94.7948097 29.3040367),Hesitant,Med,No,Med
Shark Shack,1607,bar,4.6,29.3069439,-94.7957083,210,30,210,"2402 The Strand, Galveston",POINT (-94.7957083 29.3069439),Skeptical,Med,No,Med
Jack's Pub On Post Office,316,bar,4.6,29.3043679,-94.7951116,210,30,210,"2406 Postoffice St, Galveston",POINT (-94.7951116 29.3043679),Hesitant,Med,No,Low
Hearsay On The Strand,1103,restaurant,4.4,29.3068691,-94.796027,35,5,35,"2410 The Strand, Galveston",POINT (-94.796027 29.3068691),Skeptical,Med,No,Low
Patrick’s Bar,174,bar,4.3,29.3066379,-94.7959472,350,50,350,"2411 The Strand B, Galveston",POINT (-94.7959472 29.3066379),Skeptical,Med,No,Low
Trini Mike's Island Time Kitchen (Food Truck),5,restaurant,4.2,29.3041632,-94.7954706,,,93.75,"2424 Post Office, Galveston (Sharkeys)",POINT (-94.7954706 29.3041632),Skeptical,Med,No,Low
La Estacion Restaurant,442,restaurant,4.3,29.3015187,-94.794797,175,25,175,"2428 Avenue H, Galveston",POINT (-94.794797 29.3015187),Skeptical,Med,No,Low
Robert's Lafitte,122,bar,4.5,29.2896039,-94.7911531,600,400,600,"2501 Avenue Q, Galveston",POINT (-94.7911531 29.2896039),Currious,Med,No,Med
Bubba Gump Shrimp Co.,6587,restaurant,4,29.28785,-94.790157,140,20,140,"2501 Seawall Boulevard, Galveston",POINT (-94.790157 29.28785),Skeptical,Med,No,High
Fish Tales,5546,restaurant,4,29.2882774,-94.7908591,280,40,280,"2502 Seawall Boulevard, Galveston",POINT (-94.7908591 29.2882774),Skeptical,Med,No,High
Shrimp 'N Stuff Downtown,1785,restaurant,4.5,29.3013951,-94.7958306,1400,200,1400,"2506 Avenue H, Galveston",POINT (-94.7958306 29.3013951),Skeptical,Med,No,Low
Freckleberry Teahouse,78,cafe,4.9,29.3041968,-94.79937,,,625,"2724 Market Street, Galveston",POINT (-94.79937 29.3041968),Curious,Med,No,Med
Taco Cabana,109,restaurant,2,29.27079,-94.82903,2800,400,2800,"2729 61st St. Galveston, TX 77551",POINT (-94.82903 29.27079),Opp,Med,No,Low
Float Pool & Patio Bar,1433,bar,4.2,29.2859177,-94.7944124,?,?,,"2828 Seawall Boulevard, Galveston",POINT (-94.7944124 29.2859177),Skeptical,Med,No,Med
The Poop Deck,235,bar,4.5,29.2852319,-94.7955743,10000,500,10000,"2928 Seawall Boulevard, Galveston",POINT (-94.7955743 29.2852319),Skeptical,Med,No,Low
Island time beach bar,12,bar,4.7,29.2842203,-94.7971187,,,1125,"3102 Seawall Boulevard, Galveston",POINT (-94.7971187 29.2842203),Curious,Med,No,Low
Taqueria Flores,507,restaurant,4.5,29.297634,-94.8026272,,,750,"3202 Broadway Avenue J #4228, Galveston",POINT (-94.8026272 29.297634),Skeptical,Med,No,Low
Under the Bun,6,restaurant,4.8,29.2836927,-94.7981611,,,93.75,"3202 Seawall Boulevard, Galveston (SPOT)",POINT (-94.7981611 29.2836927),Skeptical,Med,No,High
Squeeze,35,bar,3.5,29.2837569,-94.7980425,,,140.625,"3204 Seawall Boulevard c, Galveston (spot)",POINT (-94.7980425 29.2837569),Skeptical,Med,No,High
Tiki Bar,142,bar,4.3,29.2836062,-94.7979736,,,1125,"3204 Seawall Boulevard Suite B, Galveston",POINT (-94.7979736 29.2836062),Skeptical,Med,No,High
SideYard,106,bar,4.2,29.2837156,-94.7980166,,,140.625,"3204 Seawall Boulevard Suite D, Galveston",POINT (-94.7980166 29.2837156),Skeptical,Med,No,High
Rum Shack,221,bar,4.3,29.2835904,-94.7979948,,,140.625,"3204 Seawall Boulevard Suite E, Galveston",POINT (-94.7979948 29.2835904),Skeptical,Med,No,High
Drip,2,bar,5,29.2836623,-94.7981973,1500,150,1500,"3204 Seawall Boulevard, Galveston",POINT (-94.7981973 29.2836623),Skeptical,Med,No,High
Black Pearl Oyster Bar,2224,restaurant,4.4,29.3054649,-94.7940474,105,15,105,"327 23rd Street, Galveston",POINT (-94.7940474 29.3054649),Skeptical,Med,No,Low
La Michoacana Meat Market,286,supermarket,4,29.2965863,-94.8035795,350,50,350,"3301 Broadway Avenue J, Galveston",POINT (-94.8035795 29.2965863),Skeptical,Med,No,Low
Queen's Bar-B-Que,1311,restaurant,4.3,29.2834997,-94.8011997,700,100,700,"3428 Avenue S, Galveston",POINT (-94.8011997 29.2834997),Skeptical,Med,No,Low
Joe's Crab Shack,4371,restaurant,3.8,29.2815703,-94.8014962,245,35,245,"3502 Seawall Boulevard, Galveston",POINT (-94.8014962 29.2815703),Skeptical,Med,No,High
The Gumbo Diner,3842,restaurant,4.4,29.2811811,-94.8018983,350,50,350,"3602 Seawall Boulevard, Galveston",POINT (-94.8018983 29.2811811),Skeptical,Med,No,High
Rail Road Museum,408,restaurant,4.6,29.2983795,-94.8091242,400,100,400,"2602 Santa Fe Pl, Galveston",POINT (-94.8091242 29.2983795),Curious,med,Yes,Low
Redfish Pool Bar,7,bar,2.9,29.2798569,-94.8037861,,,140.625,"3788 Seawall Boulevard, Galveston",POINT (-94.8037861 29.2798569),Skeptical,Med,No,High
Nick's Kitchen and Beach Bar,3609,restaurant,4.2,29.2797917,-94.8040028,,,656.25,"3802 Seawall Boulevard, Galveston",POINT (-94.8040028 29.2797917),Skeptical,Med,No,High
Cordray Drug Store,28,convenience store,4.5,29.293314,-94.8095633,,,750,"3827 Ave L Galveston, TX 77550",POINT (-94.8095633 29.293314),Curious,Med,No,Med
Shrimp N Stuff,1441,restaurant,4,29.28874,-94.80844,1050,150,1050,"3901 Ave O Galveston, TX 77550",POINT (-94.80844 29.28874),Skeptical,Med,No,High
Whitecaps,,university,,29.285577,-94.8077385,0,0,1875,"3916 Avenue Q, Galveston",POINT (-94.8077385 29.285577),Curious,med,No,low
Mr Taco & Limon Paradise,129,restaurant,4.1,29.2777842,-94.8072763,350,50,350,"4112 Seawall Boulevard, Galveston",POINT (-94.8072763 29.2777842),Curious,Med,No,Med
Trattoria La Vigna,563,restaurant,4.6,29.306202,-94.7901585,0,0,93.75,"412 20th Street, Galveston",POINT (-94.7901585 29.306202),Skeptical,Med,No,Low
Shucks Tavern,97,restaurant,4.7,29.3055721,-94.7912194,35,0,35,"414 21st Street, Galveston",POINT (-94.7912194 29.3055721),Curious,Med,No,Low
Gonzalo’s American Bistro,35,restaurant,5,29.3090727,-94.7778359,700,100,700,"415 9th Street, Galveston",POINT (-94.7778359 29.3090727),Curious,Med,No,Low
Mama Teresa's Flying Pizza,1875,restaurant,4.6,29.3055494,-94.7911778,175,25,175,"416 21st Street, Galveston",POINT (-94.7911778 29.3055494),Skeptical,Med,No,Low
The Wine Next Door,3,bar,5,29.3054682,-94.7911713,0,0,140.625,"418 21st Street, Galveston",POINT (-94.7911713 29.3054682),Curious,Med,No,Low
Seawall Bar,7,bar,4.9,29.2769262,-94.8086836,0,0,750,"4302 Seawall Boulevard, Galveston (Tru Hotel)",POINT (-94.8086836 29.2769262),Skeptical,Med,No,Low
KritiKos Olympia Grill,379,restaurant,4.3,29.2734391,-94.8157266,105,15,105,"4908 Seawall Boulevard suite B, Galveston",POINT (-94.8157266 29.2734391),Curious,Med,No,Low
Bronco Burritos,289,restaurant,4.5,29.29176564,-94.82237832,7000,1000,7000,"4917 Broadway St Galveston, TX 77551",POINT (-94.822378320166 29.2917656429058),Skeptical,Med,No,Med
America's Kitchen,565,restaurant,4.4,29.3140986,-94.7755666,70,5,70,"500 Harborside Drive, Galveston",POINT (-94.7755666 29.3140986),Opp,Med,No,Low
Sharky's Tavern,757,restaurant,4.4,29.3037598,-94.7953346,,,1250,"504 25th Street, Galveston",POINT (-94.7953346 29.3037598),Skeptical,Med,No,High
H2O Pool + Bar,33,restaurant,3.5,29.2723853,-94.817417,7500,500,7500,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551",POINT (-94.817417 29.2723853),Skeptical,Med,No,High
The Cove,46,bar,4.2,29.2725491,-94.8183102,0,0,140.625,"5222 Seawall Boulevard, Galveston",POINT (-94.8183102 29.2725491),Skeptical,Med,No,High
Landry's Prime Seafood & Steaks,637,restaurant,3.5,29.2707352,-94.82023169,,,93.75,"5310 Seawall Blvd Galveston, TX 77551",POINT (-94.8202316880881 29.270735202849),Skeptical,Med,No,High
Hooters,175,restaurant,2,29.2797,-94.83244,280,40,280,"6028 Heards Ln Galveston, TX 77551",POINT (-94.83244 29.2797),Skeptical,Med,No,Low
Golden Corral Buffet & Grill,4686,restaurant,4.2,29.2660613,-94.8282526,280,40,280,"6200 Seawall Boulevard, Galveston",POINT (-94.8282526 29.2660613),Skeptical,Med,No,Low
Tremont House Hotel,1,restaurant,2,29.27219042,-94.84080613,300,200,300,"2300 Mechanic st Galveston, TX 77550",POINT (-94.8408061274375 29.2721904155014),Curious,Med,Yes,High
Cafe in the Park,48,restaurant,3,29.27307241,-94.85089697,2000,800,2000,"7 Hope Blvd Galveston, TX 77554",POINT (-94.8508969682617 29.2730724079183),Skeptical,Med,No,High
Shearn's Seafood and Prime Steaks,110,restaurant,4,29.27082677,-94.85046387,0,0,93.75,"7 Hope Blvd Galveston, TX 77554",POINT (-94.8504638671875 29.270826769182),Skeptical,Med,No,High
Rice & Curry Indo-Pak Cuisine,759,restaurant,3,29.30747,-94.7743744,70,10,70,"712 7th Street, Galveston",POINT (-94.7743744 29.30747),Curious,Med,No,Low
PJ’s coffee,,cafe,,29.3114867,-94.7780584,,,625,"712 Texas Avenue, Galveston (UTMB)",POINT (-94.7780584 29.3114867),Curious,Med,No,High
Marina Bar & Grill,530,bar,4.3,29.3174591,-94.777354,350,50,350,"715 North Holiday Drive, Galveston",POINT (-94.777354 29.3174591),Oppositional,Med,No,Med
Dolphin World Inc No 2,5,restaurant,2,29.25173,-94.85317,210,30,210,"718 41st Str Galveston, TX 77550",POINT (-94.85317 29.25173),Skeptical,Med,No,Low
Number 13 Prime Steak and Seafood,1058,bar,4.5,29.2850878,-94.8575356,75,25,75,"7809 Broadway Street, Galveston",POINT (-94.8575356 29.2850878),Hesitant,Med,No,High
Galveston Primetime,1321,movie_theater,4.2,29.2530127,-94.8542107,4200,600,4200,"8902 Seawall Boulevard, Galveston Movie theatre)",POINT (-94.8542107 29.2530127),Skeptical,Med,No,Low
Palm Beach At Moody Gardens,958,amusement_park,4.5,29.275732,-94.850972,,,5500,"8928, 1 Hope Boulevard, Galveston",POINT (-94.850972 29.275732),Hesitant,Med,No,High
SEA BEAN Coffee Cafe,7,cafe,4.5,29.2506218,-94.8532271,,,750,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",POINT (-94.8532271 29.2506218),Skeptical,Med,No,High
Jimmy's Curbside Restaurant and Grocery,8,restaurant,4.5,29.2506985,-94.8531793,,,750,"9001 Seawall Boulevard, Galveston",POINT (-94.8531793 29.2506985),Curious,Med,No,Med
Tin Cup's Caddy Shack,197,bar,4.6,29.2539288,-94.8556317,,,140.625,"9020 Stewart Road, Galveston",POINT (-94.8556317 29.2539288),Skeptical,Med,No,Low
Lone Star Rally-Bar Hq,6,bar,4,29.3015921,-94.7755315,,,140.625,"910 Avenue M, Galveston",POINT (-94.7755315 29.3015921),Curious,Med,No,Med
Jetty,30,restaurant,2.5,29.27279,-94.81661,,,93.75,HI seawall,POINT (-94.81661 29.27279),Skeptical,Med,No,High
Galveston Food Truck Park,6,food,5,29.1415146,-95.0404814,,,0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",POINT (-95.0404814 29.1415146),Skeptical,Med,No,Low
Blake's Bistro (under San Luis),70,restaurant,4,29.27254012,-94.81829196,0,0,93.75,San Luis Hotel,POINT (-94.8182919630244 29.2725401175338),Skeptical,Med,No,High
Bar 43,1,restaurant,1,29.2809684,-94.8108363,,,93.75,,POINT (-94.8108363 29.2809684),Currious,Med,No,Low
B. Jiggers Lounge,17,restaurant,2.5,29.2725013,-94.8166683,560,80,560,,POINT (-94.8166683 29.2725013),Skeptical,Med,No,High
Hummel's General Store & Deli,22,convenience store,4.5,29.20822,-94.9374899,700,100,700,,POINT (-94.9374899 29.20822),Skeptical,Med,No,Med
Grotto (under San Luis),136,restaurant,4.5,29.272606,-94.818427,0,0,93.75,,POINT (-94.818427 29.272606),Skeptional,Med,No,High
Rainforest Cafe,485,restaurant,3,29.27075307,-94.82020721,350,50,350,,POINT (-94.820207208395 29.270753067342),Skeptical,Med,No,High
Tortuga Mexican Kitchen,486,restaurant,3,29.26748848,-94.82559204,20,10,20,,POINT (-94.8255920410156 29.2674884796143),Opp,Med,No,Low
Rainforest Pyramid,26,restaurant,4,29.27548471,-94.85260158,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8526015753142 29.2754847110984),Curious,Med,Yes,High
Aquarium Pyramid,56,restaurant,3.5,29.27236148,-94.85420043,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8542004275391 29.2723614780696),Skeptical,Med,Yes,High
Moody Gardens Restaurant (shown under other restaurant),2,restaurant,3,29.2757299,-94.8520363,0,0,93.75,"1 Hope Boulevard, Galveston",POINT (-94.8520363 29.2757299),Skeptical,Med,Yes,High
Stuttgarden Tavern,2179,bar,4.2,29.3077483,-94.7947919,,,468.75,"111 23rd Street, Galveston",POINT (-94.7947919 29.3077483),Skeptical,Med,Yes,High
Mario's Pizza,219,restaurant,3.5,29.2082758,-94.9373606,0,0,93.75,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",POINT (-94.9373606 29.2082758),Skeptical,Med,Yes,Low
The Original Mexican Cafe,2901,restaurant,4.3,29.3079298,-94.7836077,1015,145,1015,"1401 Market Street, Galveston",POINT (-94.7836077 29.3079298),Skeptical,Med,Yes,Low
Waterman's Restaurant,350,restaurant,3,29.2073822,-94.94924164,,,93.75,"14302 Stewart Rd Galveston, TX 77554",POINT (-94.9492416381836 29.2073822021484),Skeptical,Med,Yes,Med
Yamato,936,restaurant,4.4,29.2780918,-94.8316258,,,93.75,"2104 61st Street, Galveston",POINT (-94.8316258 29.2780918),Skeptical,Med,Yes,Low
Brewchachos Tacos & Cantina,1043,bar,4.2,29.3078756,-94.7925997,2800,400,2800,"2110 The Strand, Galveston",POINT (-94.7925997 29.3078756),Skeptical,Med,Yes,Med
Rosario`s flying pizza and pub,34,restaurant,4.6,29.3073255,-94.7928341,280,40,280,"2121 The Strand, Galveston",POINT (-94.7928341 29.3073255),Curious,Med,Yes,Low
MOD Coffeehouse,1811,cafe,4.7,29.305025,-94.7921056,1450,1250,1450,"2126 Postoffice St, Galveston",POINT (-94.7921056 29.305025),Skeptical,Med,Yes,Med
The Garden Thai Cuisine,146,restaurant,4.5,29.3065697,-94.7940546,210,30,210,"216 23rd Street, Galveston",POINT (-94.7940546 29.3065697),Skeptical,Med,Yes,Low
The Sandbar Grille,292,bar,4,29.1449775,-95.0470522,2000,1400,2000,"21706 Burnet Drive, Galveston",POINT (-95.0470522 29.1449775),Skeptical,Med,Yes,Med
Mario's Ristorante,215,restaurant,3.5,29.27708,-94.8315,210,175,210,"2202 61st St Galveston, TX 77551",POINT (-94.8315 29.27708),skeptical,Med,Yes,Med
Yaga's Cafe,1708,bar,4.4,29.3071481,-94.7949518,250,150,250,"2314 The Strand, Galveston",POINT (-94.7949518 29.3071481),Skeptical,Med,Yes,High
Brews Brothers,672,bar,4.3,29.3069004,-94.7958692,,,1125,"2404 The Strand, Galveston",POINT (-94.7958692 29.3069004),Skeptical,Med,Yes,Low
Bubba's on The Strand,113,bar,4.3,29.3065268,-94.7959158,,,1125,"2411 The Strand, Galveston",POINT (-94.7959158 29.3065268),Skeptical,Med,Yes,Low
Beerfoot Beach Bar,184,bar,4.4,29.2863254,-94.7942047,0,0,140.625,"2816 Avenue R 1/2, Galveston",POINT (-94.7942047 29.2863254),Skeptical,Med,Yes,High
Huli Huli Hut,1766,restaurant,4.3,29.3071699,-94.7892355,175,25,175,"312 19th Street, Galveston",POINT (-94.7892355 29.3071699),Skeptical,Med,Yes,Low
The Spot,12914,bar,4.3,29.2836047,-94.7980051,,,468.75,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),Skeptical,Med,Yes,High
