,Unnamed: 0.1,Unnamed: 0,yelp_id,Name,image_url,business_status,url,display_phone,user_ratings_total,category,rating,photos,price_level,hours,Latitude,Longitude,hour_type,Address,google_id,business_hours,business_hours_text,Name + Address,second_best_match,second_best_score,hours_open,main_category
10,36,31,,335 Briarcrest Condominium,,OPERATIONAL,,,,,,,,,42.2465369,-83.7489134,,"101 Oakbrook Dr, Ann Arbor",ChIJf4HXqcOvPIgR_Yvry8AJO8g,,,"335 Briarcrest Condominium101 Oakbrook Dr, Ann Arbor","University of Michigan Museum of Natural History1105 N University Ann Arbor, MI 48109",86,,
11,40,35,,410 First Condominiums,,OPERATIONAL,,,,,,,,,42.2844906,-83.7506316,,"410 N 1st St, Ann Arbor",ChIJG6rrfWGvPIgRAQMBJVxqd84,,,"410 First Condominiums410 N 1st St, Ann Arbor","Buddy's Pizza - Ann Arbor3153 Ann Arbor-Saline Rd Ann Arbor, MI 48103",86,,
12,46,338,,608 High St Apts,,OPERATIONAL,,,,,,,,,42.2864412,-83.7412418,,"608 High St, Ann Arbor",ChIJT9cmrhSuPIgROKjZeULnwo4,,,"608 High St Apts608 High St, Ann Arbor","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,
13,48,708,PchJZ6uVxVL3mBhrv8tbUw,7-Eleven,https://s3-media1.fl.yelpcdn.com/bphoto/IncTzUpzem4C5KR285V3Yg/o.jpg,OPERATIONAL,https://www.yelp.com/biz/7-eleven-ann-arbor-2?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 913-1061,10.0,"['convenience', 'coffee', 'servicestations']",2.5,['https://s3-media1.fl.yelpcdn.com/bphoto/IncTzUpzem4C5KR285V3Yg/o.jpg'],$,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",42.2725039714534,-83.7498073,REGULAR,"704 S Main St Ann Arbor, MI 48104",,,,"7-Eleven704 S Main St Ann Arbor, MI 48104","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,convenience
14,49,829,zer41Q5CH95h-aW9w9r9mw,7-Eleven,https://s3-media1.fl.yelpcdn.com/bphoto/_RwaT3yPif3_nbG0aHpT3Q/o.jpg,OPERATIONAL,https://www.yelp.com/biz/7-eleven-ann-arbor-3?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 997-7008,2.0,"['convenience', 'coffee']",1.0,['https://s3-media1.fl.yelpcdn.com/bphoto/_RwaT3yPif3_nbG0aHpT3Q/o.jpg'],$,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",42.2746077302692,-83.7328255176544,REGULAR,"1300 S University Ann Arbor, MI 48104",,,,"7-Eleven1300 S University Ann Arbor, MI 48104","Buddy's Pizza - Ann Arbor3153 Ann Arbor-Saline Rd Ann Arbor, MI 48103",86,,convenience
15,50,696,3GAqjvulzgQjhywsRD8GKg,7-Eleven,https://s3-media4.fl.yelpcdn.com/bphoto/9jfsmgqhDO6lkv6vScuQ6Q/o.jpg,OPERATIONAL,https://www.yelp.com/biz/7-eleven-ann-arbor?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 913-2076,12.0,"['coffee', 'convenience']",2.5,"['https://s3-media4.fl.yelpcdn.com/bphoto/9jfsmgqhDO6lkv6vScuQ6Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/cQ9HkHEtRE77ZD3lTO8n4g/o.jpg']",$,"[{'open': [{'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 1}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 4}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 5}, {'is_overnight': True, 'start': '0000', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",42.278698,-83.740961,REGULAR,"318 S State St Ann Arbor, MI 48104",,,,"7-Eleven318 S State St Ann Arbor, MI 48104","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,coffee
16,52,1324,,8 Tortas,,CLOSED_TEMPORARILY,,,38.0,restaurant,4.1,,,,42.3043127,-83.6911146,,"3584 Plymouth Road, Ann Arbor",ChIJFe6phxusPIgR-FLn3Ffh8jM,,,"8 Tortas3584 Plymouth Road, Ann Arbor","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,restaurant
17,58,540,A-9IeadLp4Zx0quOIXqtmQ,A Taste Of Soul by Biggie's Soul Food Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/InNRM0iat-QU_HqNiomyvQ/o.jpg,OPERATIONAL,https://www.yelp.com/biz/a-taste-of-soul-by-biggies-soul-food-restaurant-ypsilanti?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 483-8360,64.0,"['bbq', 'sandwiches', 'soulfood']",4.0,"['https://s3-media1.fl.yelpcdn.com/bphoto/InNRM0iat-QU_HqNiomyvQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/_W6P0VBtYBnw0OE1NsfvLQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/TY8B-GWrNKMyNDvmIKXZiw/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1400', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",42.23659,-83.62815,REGULAR,"1004 W Michigan Ave Ypsilanti, MI 48197",,,,"A Taste Of Soul by Biggie's Soul Food Restaurant1004 W Michigan Ave Ypsilanti, MI 48197","Frita Batidos117 W Washington St Ann Arbor, MI 48104",86,,bbq
18,62,1403,,A. Alfred Taubman Health Care Center,,OPERATIONAL,,,132.0,hospital,4.2,,,,42.2839356,-83.7278409,,"1500 East Medical Center Drive, Ann Arbor",ChIJ0YtAjWiuPIgRdrBwBidyydY,,,"A. Alfred Taubman Health Care Center1500 East Medical Center Drive, Ann Arbor","Aventura216 E Washington St Ann Arbor, MI 48104",86,,hospital
19,63,456,veh7CxFHu81OLvWgjlDFig,A&W Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/PTXvLCN6eHam9R63OBVHPQ/o.jpg,OPERATIONAL,https://www.yelp.com/biz/a-and-w-restaurant-dexter?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 426-4427,54.0,"['hotdogs', 'burgers', 'hotdog']",4.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/PTXvLCN6eHam9R63OBVHPQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/KDpybo4o6AuOicYEcVGdfw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/EklDUhWZkRzdaovOGFiU7g/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",42.33914,-83.89225,REGULAR,"8220 Dexter-Chelsea Rd Dexter, MI 48130",,,,"A&W Restaurant8220 Dexter-Chelsea Rd Dexter, MI 48130","University of Michigan Museum of Natural History1105 N University Ann Arbor, MI 48109",86,,hotdogs
20,64,755,DW_4i5qWAE4mBL8dn1-KsA,A2 Nutrition,https://s3-media3.fl.yelpcdn.com/bphoto/JNFvhSp-o_pjVNVRMp_I-g/o.jpg,OPERATIONAL,https://www.yelp.com/biz/a2-nutrition-ann-arbor?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 400-4495,3.0,"['coffee', 'juicebars']",5.0,"['https://s3-media3.fl.yelpcdn.com/bphoto/JNFvhSp-o_pjVNVRMp_I-g/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/yU6_f_nM_O0Rcu39Se_hIQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/ThR1MaigQ1xAQEjIjow7Ig/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1400', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",42.2895536,-83.8424548484795,REGULAR,"5700 Jackson Rd Ann Arbor, MI 48103",,,,"A2 Nutrition5700 Jackson Rd Ann Arbor, MI 48103","Anna's House - Ann Arbor445 E Eisenhower Pkwy Ste 1 Ann Arbor, MI 48108",86,,coffee
21,65,1734,,A2 OFFICE SPACE,,CLOSED_TEMPORARILY,,,,bar,,,,,42.2296483,-83.6917577,,"3438 East Ellsworth Road, Ann Arbor",ChIJBca4O1uvPIgRXX-aIbifNfY,,,"A2 OFFICE SPACE3438 East Ellsworth Road, Ann Arbor","University of Michigan Museum of Natural History1105 N University Ann Arbor, MI 48109",86,,bar
22,68,92,,A2 Virtual,,OPERATIONAL,,,,secondary_school,,,,,42.2503905,-83.736941,,"2555 South State Street, Ann Arbor",ChIJw1_HnrmvPIgRT_5wbNAlq7I,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","A2 Virtual2555 South State Street, Ann Arbor","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,secondary_school
23,69,93,,A2 Yoga,,OPERATIONAL,,,,,,,,,42.2698425,-83.7769153,,"2030 Commerce Boulevard #4402, Ann Arbor",ChIJ4UTamM6xPIgRLMn37KcEqYk,,,"A2 Yoga2030 Commerce Boulevard #4402, Ann Arbor","Anna's House - Ann Arbor445 E Eisenhower Pkwy Ste 1 Ann Arbor, MI 48108",86,,
24,70,1,,A2AC (Ann Arbor Art Center),,OPERATIONAL,,,,,,,,,42.2795073,-83.7495125,,"117 West Liberty Street, Ann Arbor",ChIJdcL5WTyuPIgRmQssk1CPUjg,,,"A2AC (Ann Arbor Art Center)117 West Liberty Street, Ann Arbor","Sava's216 S State St Ann Arbor, MI 48104",86,,
25,72,711,,A2STEAM School,,OPERATIONAL,,,,primary_school,,,,,42.2988906,-83.7333285,,"912 Barton Drive, Ann Arbor",ChIJ0-ax_3auPIgRM1srjiBHZzM,,,"A2STEAM School912 Barton Drive, Ann Arbor","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,primary_school
26,73,108,,AAA Ann Arbor,,OPERATIONAL,,,,,,,,,42.2672721,-83.750646,,"1100 South Main Street, Ann Arbor",ChIJFf_2zwpaXEARD5FHBSNfCyE,,,"AAA Ann Arbor1100 South Main Street, Ann Arbor","Buddy's Pizza - Ann Arbor3153 Ann Arbor-Saline Rd Ann Arbor, MI 48103",86,,
27,74,113,,AAA Ann Arbor,,OPERATIONAL,,,,,,,,,42.298073,-83.7230807,,"1750 Plymouth Road, Ann Arbor",ChIJ95pYUX6uPIgR3Ct_DnfOOV0,,,"AAA Ann Arbor1750 Plymouth Road, Ann Arbor","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,
28,75,25,,Abbot Elementary School,,OPERATIONAL,,,3.0,primary_school,4.3,,,,42.2937967,-83.7849674,,"2670 Sequoia Parkway, Ann Arbor",ChIJk-hJsJKxPIgRdK_5ti1KZbY,,,"Abbot Elementary School2670 Sequoia Parkway, Ann Arbor","Eat407 N 5th Ave Ann Arbor, MI 48104",86,,primary_school
29,78,1511,,Achilles Restaurant,,OPERATIONAL,,,456.0,restaurant,4.6,,1.0,,42.2453444,-83.6986167,,"3075 Packard Street, Ann Arbor",ChIJYXzw-hWvPIgREQnwUZbd7e8,"[{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20093:00\u202fPM']","Achilles Restaurant3075 Packard Street, Ann Arbor","Achilles Restaurant3075 Packard St Ann Arbor, MI 48108",87,,restaurant
30,81,119,,Adult Psychiatry - Psychiatric Emergency Service,,OPERATIONAL,,,,hospital,,,,,42.2843491,-83.7278064,,"1540 East Medical Center Drive, Ann Arbor",ChIJo5_dVV2uPIgRWlup0komWr8,,,"Adult Psychiatry - Psychiatric Emergency Service1540 East Medical Center Drive, Ann Arbor","Frita Batidos117 W Washington St Ann Arbor, MI 48104",86,,hospital
31,84,743,,Adventure Leadership Rental Center,,OPERATIONAL,,,7.0,university,4.3,,,,42.271553,-83.744659,,"336 Hill Street, Ann Arbor",ChIJIaUaRjeuPIgRXd20fhOwFhg,"[{'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '1500'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1500'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1500'}}]","['Monday: 3:00\u2009–\u20096:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 3:00\u2009–\u20096:00\u202fPM', 'Thursday: Closed', 'Friday: 3:00\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']","Adventure Leadership Rental Center336 Hill Street, Ann Arbor","Sava's216 S State St Ann Arbor, MI 48104",86,,university
32,87,63,,African American Cultural and Historical Museum of Washtenaw County,,OPERATIONAL,,,,,,,,,42.2964769,-83.7369548,,"1528 Pontiac Trail, Ann Arbor",ChIJV7x19HOuPIgRfMtHHb7FaKE,,,"African American Cultural and Historical Museum of Washtenaw County1528 Pontiac Trail, Ann Arbor","Frita Batidos117 W Washington St Ann Arbor, MI 48104",86,,
