Name,Address,Longitude,Latitude,geometry
A Bygone Era Historic Vacation Rental,"1903 Avenue L, Galveston",-94.7869368,29.299207,POINT (-94.7869368 29.299207)
A Great Escape,"4141 Pointe West Drive, Galveston",-95.0974127,29.102749,POINT (-95.0974127 29.102749)
A Green Earth Montessori,"6910 Yucca Drive, Galveston",-94.8390759,29.2707593,POINT (-94.8390759 29.2707593)
A Tropical Paradise,"7400 Jones Drive #2421, Galveston",-94.8460369,29.271794,POINT (-94.8460369 29.271794)
A-Affordable,"3402 Broadway Avenue J, Galveston",-94.8048815,29.2969957,POINT (-94.8048815 29.2969957)
A-B-Sea Cottage,"3929 4th Street, Galveston",-95.0701777,29.1273203,POINT (-95.0701777 29.1273203)
"AB Sea Sales and Rentals, Inc.","10811 Termini-San Luis Pass Road, Galveston",-94.8715804,29.2421779,POINT (-94.8715804 29.2421779)
Abadie Integrative Therapy,"6217 Central City Boulevard, Galveston",-94.82934,29.268491,POINT (-94.82934 29.268491)
ABC Precision Floors - Floor Contractor,"1309 Broadway Avenue J, Galveston",-94.7809035,29.3027304,POINT (-94.7809035 29.3027304)
Absolute Paradise Luxury Vacation Rental Condo,"7000 Seawall Boulevard #1031, Galveston",-94.8350469,29.261954,POINT (-94.8350469 29.261954)
Academy Sports + Outdoors,"4523 Fort Crockett Boulevard, Galveston",-94.8134292,29.2749963,POINT (-94.8134292 29.2749963)
Acapulco Beach,"18001 Termini-San Luis Pass Road, Galveston",-94.9900072,29.1722005,POINT (-94.9900072 29.1722005)
Adams League Historic Inn,"2314 Avenue M, Galveston",-94.7916334,29.2974427,POINT (-94.7916334 29.2974427)
Affaire d'Art Fine Art Gallery,"2227 Postoffice St, Galveston",-94.793165,29.304436,POINT (-94.793165 29.304436)
African-American Museum,"3427 Sealy Avenue, Galveston",-94.8059625,29.2973585,POINT (-94.8059625 29.2973585)
Aim School,"1408-1548 53rd Street, Galveston",-94.8243539,29.2862155,POINT (-94.8243539 29.2862155)
Airport Control Tower,"8710 Cessna Drive, Galveston",-94.8562417,29.263134,POINT (-94.8562417 29.263134)
Al's Authentic Paranormal Tours,"2315 Avenue H, Galveston",-94.7931377,29.3016154,POINT (-94.7931377 29.3016154)
Alcohol Drug Abuse Women's Center,"201 1st Street, Galveston",-94.7693013,29.3135393,POINT (-94.7693013 29.3135393)
Alia Benavides,"2201 Postoffice St, Galveston",-94.7926419,29.3046691,POINT (-94.7926419 29.3046691)
Allen Painting and Sandblasting,"1504 33rd Street #6829, Galveston",-94.8017422,29.2924607,POINT (-94.8017422 29.2924607)
Amadors painting servise,"11150 Termini-San Luis Pass Road, Galveston",-94.8769596,29.2406756,POINT (-94.8769596 29.2406756)
Ambassadors Preparatory Academy,"5001 Avenue U, Galveston",-94.818203,29.274333,POINT (-94.818203 29.274333)
Amco Auto Insurance | Seguros De Auto,"3620 Broadway Avenue J, Galveston",-94.808025,29.2962215,POINT (-94.808025 29.2962215)
American Baptist General Convention of Texas,"3003 Avenue M, Galveston",-94.7993035,29.2948381,POINT (-94.7993035 29.2948381)
"American Villas, LLC","2418 Sea Park Lane, Galveston",-94.7454717,29.3243437,POINT (-94.7454717 29.3243437)
Americas Best Value Inn,"3008 Seawall Boulevard, Galveston",-94.7961098,29.2847884,POINT (-94.7961098 29.2847884)
Ampco System Parking,"Parking lot, 2200 Harborside Drive, Galveston",-94.7935826,29.3090517,POINT (-94.7935826 29.3090517)
Amy Lane,"2029 The Strand, Galveston",-94.7919144,29.3076743,POINT (-94.7919144 29.3076743)
Amy's Classic Beauty,"7019 Lasker Drive #1632, Galveston",-94.8351669,29.2632484,POINT (-94.8351669 29.2632484)
Anderson Ways,Galveston,-94.9063099,29.2607934,POINT (-94.9063099 29.2607934)
Andrade Liliana C MD,"RR 460, Galveston",-94.7772493,29.3106102,POINT (-94.7772493 29.3106102)
"Anello J. D'ambra, DC","2006 45th Street, Galveston",-94.8139753,29.2844157,POINT (-94.8139753 29.2844157)
Angel Cradling Bunny,"1124 37th Street, Galveston",-94.8072667,29.2942306,POINT (-94.8072667 29.2942306)
Angler Charters,"715 North Holiday Drive, Galveston",-94.775648,29.317741,POINT (-94.775648 29.317741)
ANNE LANE GALLERY,"3818 Avenue S, Galveston",-94.8055317,29.282381,POINT (-94.8055317 29.282381)
Annie Lee - BOTWG,"26421 Cat Tail Drive, Galveston",-95.1000791,29.1003846,POINT (-95.1000791 29.1003846)
Antigua Apartments,"8008 Seawall Blvd, Galveston",-94.845051,29.2565281,POINT (-94.845051 29.2565281)
Anton’s Beach Paradise,"7700 Seawall Blvd, Galveston",-94.8420582,29.2582523,POINT (-94.8420582 29.2582523)
Apartments on Strand,"2, 2118 1, The Strand, Galveston",-94.792805,29.3077515,POINT (-94.792805 29.3077515)
Apostolic Firehouse,"3710 Broadway Avenue J, Galveston",-94.808635,29.296099,POINT (-94.808635 29.296099)
Applique,"The Tremont House, Galveston",-94.7948095,29.3062164,POINT (-94.7948095 29.3062164)
Aqua La Vista,"3915 Kiva Road, Galveston",-95.0030074,29.1698963,POINT (-95.0030074 29.1698963)
Aqua View @ Seascape,"10811 Termini-San Luis Pass Road #1113, Galveston",-94.8712812,29.2418638,POINT (-94.8712812 29.2418638)
Aquarela Pointe San Luis,"25046 Sausalito Drive, Galveston",-95.085742,29.1139291,POINT (-95.085742 29.1139291)
Arbor E & T,"4700 Broadway Avenue J # B101, Galveston",-94.8198146,29.2941247,POINT (-94.8198146 29.2941247)
Argonauta,"18803 West De Vaca Lane, Galveston",-94.9997789,29.1655427,POINT (-94.9997789 29.1655427)
Art League,"2117a Postoffice Street, Galveston",-94.7918334,29.304719,POINT (-94.7918334 29.304719)
Arthur's Beach & Bay Vacation Rentals,"26570 Baywater Drive, Galveston",-95.1055512,29.102259,POINT (-95.1055512 29.102259)
Arthur's Beachfront Bliss,"4151 Pointe West Drive #201, Galveston",-95.0974085,29.1022569,POINT (-95.0974085 29.1022569)
Arthur's Sea Shack in Sea Isle,"3827 Antascosa Key, Galveston",-95.0462029,29.1460397,POINT (-95.0462029 29.1460397)
Artist Boat,"13330 Settegast Road, Galveston",-94.9322788,29.2226456,POINT (-94.9322788 29.2226456)
Arts on Mechanic,"2309 Mechanic Street, Galveston",-94.7944691,29.3060921,POINT (-94.7944691 29.3060921)
Asbestos Control of Texas Inc,"3228 Bernardo De Galvez Avenue, Galveston",-94.8006407,29.2893683,POINT (-94.8006407 29.2893683)
Ashton Place Apartments,"3219 69th St, Galveston",-94.8364858,29.2655199,POINT (-94.8364858 29.2655199)
AT&T Store,"6105 Stewart Road Suite A, Galveston",-94.8307227,29.2744075,POINT (-94.8307227 29.2744075)
ATM,"2502 45th Street, Galveston",-94.8124374,29.2801259,POINT (-94.8124374 29.2801259)
Atmosphere the salon and beyond,"1221 23rd Street, Galveston",-94.7913345,29.2976693,POINT (-94.7913345 29.2976693)
Attitude Adjustment,"11218 Reagor Way, Galveston",-94.8831141,29.2370979,POINT (-94.8831141 29.2370979)
Austin Middle School,"1514 Ursuline Street, Galveston",-94.7818738,29.2978521,POINT (-94.7818738 29.2978521)
Ave. P Cottage - Vacation Rental,"3600 Bernardo De Galvez Avenue, Galveston",-94.8043883,29.2884419,POINT (-94.8043883 29.2884419)
Avenue L Baptist Church,"2612 Avenue L, Galveston",-94.7954904,29.29729,POINT (-94.7954904 29.29729)
Avenue O Bed and Breakfast,"2323 Avenue O, Galveston",-94.7905897,29.2934753,POINT (-94.7905897 29.2934753)
Aver Cottage in Galveston,"4126 Avenue R, Galveston",-94.8097829,29.2831742,POINT (-94.8097829 29.2831742)
Azure Dreams,"10811 Termini-San Luis Pass Rd #2322, Galveston",-94.8711848,29.2422439,POINT (-94.8711848 29.2422439)
B J Services Completions,"1300 Coast Wide Dr, Galveston",-94.7841874,29.3233364,POINT (-94.7841874 29.3233364)
B&R,"2112 25th Street, Galveston",-94.7906194,29.2895461,POINT (-94.7906194 29.2895461)
Babe beach,"6285 Seawall Boulevard, Galveston",-94.8272966,29.2657108,POINT (-94.8272966 29.2657108)
Babes Beach,"6477 Seawall Blvd Galveston, TX 77551",-94.8299088756065,29.2645060135914,POINT (-94.8299088756065 29.2645060135914)
Backbay Emporium,"1513 19th Street, Galveston",-94.7858411,29.2962791,POINT (-94.7858411 29.2962791)
Bahama Breeze Galveston,"22006 Deaf Smith Drive, Galveston",-95.0520327,29.1444591,POINT (-95.0520327 29.1444591)
Bail America Bail Bonds,"5316 Broadway Avenue J, Galveston",-94.8275943,29.2915508,POINT (-94.8275943 29.2915508)
Bait Daddys,"17630 Termini-San Luis Pass Road, Galveston",-94.9883084,29.1741438,POINT (-94.9883084 29.1741438)
Baker Hughes,"1300 Coastwide Road, Galveston",-94.7870845,29.3246388,POINT (-94.7870845 29.3246388)
Bamboo,"1205 Church Street, Galveston",-94.7808692,29.306683,POINT (-94.7808692 29.306683)
Bank of America ATM (Drive-thru),"6311 Central City Boulevard, Galveston",-94.8302525,29.2685725,POINT (-94.8302525 29.2685725)
Bare Feet Retreat,"23165 Gulf Drive, Galveston",-95.0612892,29.126982,POINT (-95.0612892 29.126982)
Bargain Beachwear,"4708 Seawall Boulevard, Galveston",-94.8132517,29.2744262,POINT (-94.8132517 29.2744262)
"Bay Area Council, Boy Scouts of America","3020 53rd Street, Galveston",-94.8198611,29.2733128,POINT (-94.8198611 29.2733128)
Bay Front Escape,"26731 Baywater Drive, Galveston",-95.1075221,29.099181,POINT (-95.1075221 29.099181)
"Bay Point Builders, Inc.","12601 Termini-San Luis Pass Road, Galveston",-94.91163,29.2191831,POINT (-94.91163 29.2191831)
Bay Side Campsite,Galveston,-94.9553701,29.2106105,POINT (-94.9553701 29.2106105)
Baymont by Wyndham Galveston,"2826 63rd Street, Galveston",-94.8291028,29.2677838,POINT (-94.8291028 29.2677838)
Bayside at Waterman's,"14302 Stewart Road, Galveston",-94.9492543,29.20742,POINT (-94.9492543 29.20742)
Bayside Bungalow,"4127 Jackson, Galveston",-95.046035,29.1405487,POINT (-95.046035 29.1405487)
Bayside Event Center,"1723 61st Street, Galveston",-94.8345265,29.2816452,POINT (-94.8345265 29.2816452)
Bayside Sanctuary Vacation Rental,"3754 Concho Key, Galveston",-95.0452761,29.1482517,POINT (-95.0452761 29.1482517)
Bayside Storage Inc,"17616 Termini-San Luis Pass Road, Galveston",-94.9881407,29.175225,POINT (-94.9881407 29.175225)
Bayview Beauty - BOTWG,"26540 Mangrove Drive, Galveston",-95.1044768,29.101981,POINT (-95.1044768 29.101981)
Baywatch Dolphin Tours,"2100 Harborside Drive, Galveston",-94.7927881,29.3092853,POINT (-94.7927881 29.3092853)
Beach,"22501 Kennedy Drive, Galveston",-95.0519419,29.1331316,POINT (-95.0519419 29.1331316)
Beach Access Point 11,"12603 West Buena Vista Dr Galveston, TX 77554",-94.9097950157301,29.2188773679888,POINT (-94.9097950157301 29.2188773679888)
Beach Front Paradise,"4413 Tampico Way, Galveston",-94.988974,29.1721906,POINT (-94.988974 29.1721906)
Beach Pocket Park,"11102 Termini-San Luis Pass Road, Galveston",-94.8812014,29.2378261,POINT (-94.8812014 29.2378261)
Beach Rental,"4131 Pointe West Drive, Galveston",-95.0979168,29.1029924,POINT (-95.0979168 29.1029924)
Beach Therapy,"17631 Glei, Galveston",-94.9867305,29.1732069,POINT (-94.9867305 29.1732069)
Beach Town Tours (operating at 1524 8 Mile Road),"18043 Shaman Road, Galveston",-94.9948956,29.1736247,POINT (-94.9948956 29.1736247)
Beach Tree Motel,"3126 Avenue S, Galveston",-94.7976792,29.2845773,POINT (-94.7976792 29.2845773)
Beach Villa Pointe West Resort,"4221 Pointe West Drive, Galveston",-95.0986334,29.1020683,POINT (-95.0986334 29.1020683)
Beachcomber Inn,"2825 61st Street, Galveston",-94.8282885,29.2684395,POINT (-94.8282885 29.2684395)
Beachfront,"711 27th Street, Galveston",-94.7977277,29.3013582,POINT (-94.7977277 29.3013582)
BEACHFRONT PALMS HOTEL,"5914 Seawall Boulevard, Galveston",-94.8249681,29.2682874,POINT (-94.8249681 29.2682874)
Beachfront Paradise - BOTWG,"4151 Pointe West Drive, Galveston",-95.0974127,29.1022958,POINT (-95.0974127 29.1022958)
Beachfront Rose,"18911 West De Vaca Lane, Galveston",-95.001485,29.1642745,POINT (-95.001485 29.1642745)
Beachtown Galveston,"630 Beachtown Drive, Galveston",-94.7502288,29.3195256,POINT (-94.7502288 29.3195256)
Beau Soleil,"21901 Kennedy Drive, Galveston",-95.0451481,29.1376276,POINT (-95.0451481 29.1376276)
"Behrens Residential Elevators and Lifts, LLC.","2902 Avenue R 1/2, Galveston",-94.795068,29.2861522,POINT (-94.795068 29.2861522)
Bel's Upholstery,"3615 Broadway Avenue J, Galveston",-94.8075072,29.2958062,POINT (-94.8075072 29.2958062)
Bella Vita - BOTWG,"4211 Pointe West Drive, Galveston",-95.0983486,29.1017618,POINT (-95.0983486 29.1017618)
Ben Roeder Law,"1228 16th Street, Galveston",-94.7829223,29.2996799,POINT (-94.7829223 29.2996799)
bermuda beach,"Bermuda Beach, Galveston",-94.9240882,29.2094059,POINT (-94.9240882 29.2094059)
Bermuda Beach Improvement Committee,"12936 John Reynolds Road, Galveston",-94.9167347,29.215674,POINT (-94.9167347 29.215674)
Best of the West Galveston,"4161 Pointe West Drive, Galveston",-95.097901,29.1023679,POINT (-95.097901 29.1023679)
Best Western Plus Galveston Suites,"8502 Seawall Boulevard, Galveston",-94.849593,29.2538627,POINT (-94.849593 29.2538627)
Best Western Plus Seawall Inn & Suites By The Beach,"102 Seawall Boulevard, Galveston",-94.7679046,29.3111696,POINT (-94.7679046 29.3111696)
Bible Baptist Church,"7021 Avenue P 1/2, Galveston",-94.8418754,29.2748431,POINT (-94.8418754 29.2748431)
Big Wave Surf Co.,"2404 38th Street, Galveston",-94.8045001,29.2832449,POINT (-94.8045001 29.2832449)
Bills Pad in Galveston,"7000 Seawall Boulevard, Galveston",-94.8351017,29.262074,POINT (-94.8351017 29.262074)
"Billy Davis, LMT","1721 23rd Street, Galveston",-94.7898235,29.2931761,POINT (-94.7898235 29.2931761)
Birds Of Paradise Cleaning Service,"5417 Bernardo De Galvez Avenue, Galveston",-94.8253458,29.2823918,POINT (-94.8253458 29.2823918)
"BlackBox Partners, LLC","3326 Avenue East, Galveston",-94.8223009,29.2970472,POINT (-94.8223009 29.2970472)
Bleu Haus Beach House,"4008 Avenue O, Galveston",-94.8097999,29.2888725,POINT (-94.8097999 29.2888725)
Blue Beach House,"3520 Avenue S, Galveston",-94.8018018,29.2824626,POINT (-94.8018018 29.2824626)
Blue Heron Vacation Rental,"23123 Fresca Street, Galveston",-95.0604893,29.1299171,POINT (-95.0604893 29.1299171)
Blue Marlin Beach House Rental,"3631 Antascosa Key, Galveston",-95.0478098,29.1481052,POINT (-95.0478098 29.1481052)
Blue Pearl,"9520 Seawall Boulevard #114, Galveston",-94.8597063,29.2487222,POINT (-94.8597063 29.2487222)
Blue Sky Cottage,"25111 Intrepid Lane, Galveston",-95.0858598,29.1121382,POINT (-95.0858598 29.1121382)
Bluefin Galveston - Luxury Vacation Rental,"4119 Royal Tern Lane, Galveston",-95.0904892,29.1091585,POINT (-95.0904892 29.1091585)
Bluewater Beachhouse,"4142 King Rail Circle, Galveston",-95.0893364,29.1089689,POINT (-95.0893364 29.1089689)
Boardroom bar,"63rd Rear Street, Galveston",-94.8303846,29.2667624,POINT (-94.8303846 29.2667624)
Bob Davis Paint & Drywall Inc,Galveston,-94.8432731,29.27432,POINT (-94.8432731 29.27432)
Bogan Gallery,"2217 Postoffice St, Galveston",-94.7929354,29.3044721,POINT (-94.7929354 29.3044721)
Bolivar peninsula oil rig,Galveston,-94.7977277,29.3013582,POINT (-94.7977277 29.3013582)
Boost Mobile,"4905 Broadway Avenue J, Galveston",-94.8219516,29.2918273,POINT (-94.8219516 29.2918273)
"Bosworth Air Conditioning & Heating, Inc.","1213 14th Street, Galveston",-94.7810662,29.300396,POINT (-94.7810662 29.300396)
Boutique Bungalow,"1812 37th Street, Galveston",-94.8053447,29.288504,POINT (-94.8053447 29.288504)
Bradford Thomas C DDS,"1801 Broadway Avenue J, Galveston",-94.7863267,29.3012448,POINT (-94.7863267 29.3012448)
Brewster Key,"3722 Brewster Key, Galveston",-95.0465211,29.1475514,POINT (-95.0465211 29.1475514)
Brian Stanton Associates,"1815 Avenue H, Galveston",-94.7873744,29.3030585,POINT (-94.7873744 29.3030585)
BROADWAY CITGO,"2227 Broadway Avenue J, Galveston",-94.7916031,29.2999225,POINT (-94.7916031 29.2999225)
Brooks Magdalena MD,"301 University Boulevard, Galveston",-94.7758738,29.3107498,POINT (-94.7758738 29.3107498)
Broome Welding & Machine Co,"7909 Bayside Avenue, Galveston",-94.8613204,29.2896327,POINT (-94.8613204 29.2896327)
Bryan Manuele,"2728 Avenue Q, Galveston",-94.7943433,29.2891061,POINT (-94.7943433 29.2891061)
Buccaneer Marine,"2001 Seawolf Park Boulevard, Galveston",-94.7979913,29.3232355,POINT (-94.7979913 29.3232355)
Bucks Bar,"2409 Market Street, Galveston",-94.795262,29.304828,POINT (-94.795262 29.304828)
Buckshot Saloon,"2409 Market Street, Galveston",-94.7952778,29.3047222,POINT (-94.7952778 29.3047222)
Buddy's Baywater,"26560 Baywater Drive, Galveston",-95.1061745,29.1013433,POINT (-95.1061745 29.1013433)
Bueso Elisa DDS,"1801 Broadway Avenue J, Galveston",-94.7863267,29.3012448,POINT (-94.7863267 29.3012448)
Build-A-Bear Workshop,"5310 Seawall Boulevard A, Galveston",-94.8203913,29.2712143,POINT (-94.8203913 29.2712143)
Burnet Elementary Parking Lot,"5511 Avenue S, Galveston",-94.824815,29.27637,POINT (-94.824815 29.27637)
Burnet Elementary School,"5501 Avenue S, Galveston",-94.8240831,29.276497,POINT (-94.8240831 29.276497)
Busters Old Time Photos Galveston Texas,"2217 The Strand #105, Galveston",-94.7941601,29.3070637,POINT (-94.7941601 29.3070637)
Calypso Cottage,"26540 Mangrove Drive, Galveston",-95.1044768,29.101981,POINT (-95.1044768 29.101981)
Cammarn Lawn & Tractor LLC,"11556 Homrighaus Road, Galveston",-94.9013611,29.2431692,POINT (-94.9013611 29.2431692)
Campa de Pesca,"3815 Tradewinds Drive, Galveston",-95.0711697,29.1302135,POINT (-95.0711697 29.1302135)
"Candlewood Suites Galveston, an IHG Hotel","808 61st Street C, Galveston",-94.8379063,29.289885,POINT (-94.8379063 29.289885)
Captain Experiences Fishing Charters,"715 North Holiday Drive, Galveston",-94.776981,29.317168,POINT (-94.776981 29.317168)
Captain's Landing Apartments,"3102 69th Street, Galveston",-94.8354362,29.2679327,POINT (-94.8354362 29.2679327)
Captain's Paradise Beach House Rental,"12023 Sand Dollar Beach Drive, Galveston",-94.903394,29.222881,POINT (-94.903394 29.222881)
Captains Cove Resort Condos,"7600 Seawall Blvd, Galveston",-94.8408567,29.2591677,POINT (-94.8408567 29.2591677)
Cardtronics ATM,"1228 39th Street, Galveston",-94.8093049,29.2928531,POINT (-94.8093049 29.2928531)
Carlos Cabeza Cigar Shop,"318 27th Street, Galveston",-94.7984292,29.3044979,POINT (-94.7984292 29.3044979)
Carlos Tire Shop,"4520 Broadway Avenue J, Galveston",-94.8179372,29.2936892,POINT (-94.8179372 29.2936892)
Carnival Cruises Port,"2502 Harborside Drive, Galveston",-94.7976018,29.3080066,POINT (-94.7976018 29.3080066)
"Carquest Auto Parts - ENGLISH COLOR AND SUPPLY, LLC","2826 Broadway Avenue J, Galveston",-94.7986689,29.2987941,POINT (-94.7986689 29.2987941)
Carr Coastal Services,"53rd Street, Galveston",-94.8236579,29.2831383,POINT (-94.8236579 29.2831383)
Carr Mansion,"1103 33rd Street, Galveston",-94.8034299,29.2958158,POINT (-94.8034299 29.2958158)
Cars and Carts Galveston,"2402 Seawall Boulevard, Galveston",-94.7897034,29.2890817,POINT (-94.7897034 29.2890817)
Caruso Red LLC,"1126 Church Street, Galveston",-94.7804761,29.3073141,POINT (-94.7804761 29.3073141)
Casa Azul,"4134 Green Heron Drive, Galveston",-95.0891737,29.1101533,POINT (-95.0891737 29.1101533)
Casa Caribe Apartments,"515 1st Street, Galveston",-94.7689518,29.311152,POINT (-94.7689518 29.311152)
Casa Del Costa,"4119 King Rail Circle, Galveston",-95.0897433,29.1098145,POINT (-95.0897433 29.1098145)
Casa Del Mar Beachfront Suites,"6102 Seawall Boulevard, Galveston",-94.827354,29.266797,POINT (-94.827354 29.266797)
Casa Familia - Galveston,"1407 Broadway Avenue J, Galveston",-94.7820118,29.3023971,POINT (-94.7820118 29.3023971)
Casa Pura Vida Galveston,"22811 Vida Street, Galveston",-95.0593808,29.1355989,POINT (-95.0593808 29.1355989)
Cash Mortgage Services,"7016 Williams Drive, Galveston",-94.8366309,29.2642445,POINT (-94.8366309 29.2642445)
"Casita Azul - Pup Friendly Carriage House 2 Blocks from Seawall, Gulf and Beach!","1908 Avenue O 1/2, Galveston",-94.7853957,29.2942801,POINT (-94.7853957 29.2942801)
Castillo. Bishop,Galveston,-94.7977277,29.3013582,POINT (-94.7977277 29.3013582)
Cathedral of Faith-Market Street Baptist Church,"2901 Market Street, Galveston",-94.8008848,29.3033808,POINT (-94.8008848 29.3033808)
Catholic Charities,"4700 Broadway Avenue J suite f-103, Galveston",-94.8195835,29.2941968,POINT (-94.8195835 29.2941968)
Catsmews,"21518 Kennedy, Galveston",-95.0403746,29.1403583,POINT (-95.0403746 29.1403583)
CC & EE LLC,"1621 23rd Street, Galveston",-94.7900965,29.294142,POINT (-94.7900965 29.294142)
Cdreamsonthebeach,"17621 Termini-San Luis Pass Road, Galveston",-94.9868976,29.1739782,POINT (-94.9868976 29.1739782)
Cedars at Carver Park,"2915 Avenue H, Galveston",-94.8001875,29.2996872,POINT (-94.8001875 29.2996872)
Cedarwood,"2011 52nd Street, Galveston",-94.8222963,29.2821223,POINT (-94.8222963 29.2821223)
Central Cultural Center,"2627 Avenue M, Galveston",-94.7953872,29.2961096,POINT (-94.7953872 29.2961096)
Chateau Del Mar,"4161 Pointe West Drive, Galveston",-95.0980245,29.1023941,POINT (-95.0980245 29.1023941)
Chateau Lafitte Townhomes,"711 Holiday Dr, Galveston",-94.7716533,29.3078706,POINT (-94.7716533 29.3078706)
Chateau Soleil Vacation Rental,"12424 East Ventura Drive, Galveston",-94.9081542,29.220052,POINT (-94.9081542 29.220052)
Chelsea Cottage At Pleasure Pier,"2608 Avenue Q 1/2, Galveston",-94.7922964,29.2887406,POINT (-94.7922964 29.2887406)
Chevron,"2502 45th Street, Galveston",-94.8124706,29.2801474,POINT (-94.8124706 29.2801474)
Chevron Galveston,"6102 Stewart Road, Galveston",-94.8318521,29.2756464,POINT (-94.8318521 29.2756464)
Chico Tile,"4613 Broadway Avenue J, Galveston",-94.8188082,29.292672,POINT (-94.8188082 29.292672)
Child Protective Services,"123 25th Street, Galveston",-94.7970765,29.3065514,POINT (-94.7970765 29.3065514)
Childrens Center,"1424 45th Street, Galveston",-94.815582,29.2896414,POINT (-94.815582 29.2896414)
Childrens Coalition,"5127 Avenue U, Galveston",-94.8195425,29.2742785,POINT (-94.8195425 29.2742785)
Chill At The Shores LLC.,"6300 Seawall Boulevard #9115, Galveston",-94.8299235,29.2651944,POINT (-94.8299235 29.2651944)
