,Name,place_id,Address,Coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,business_hours_x,business_hours_text_x,business_hours_y,business_hours_text_y
10,B J Services Completions,ChIJad4FLSKeP4YRbwc_DiFI_U8,"1300 Coast Wide Dr, Galveston","{'lat': 29.3233364, 'lng': -94.7841874}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,,,,,,,,,,point_of_interest,,,,
11,Tetra Technologies Inc,ChIJEXyP6wieP4YRGFN3cfFLGdQ,"Bradner, Galveston","{'lat': 29.3183715, 'lng': -94.8070044}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,4.0,1.0,,,,,,,,point_of_interest,,,,
12,Buccaneer Marine,ChIJdbq3nTKcP4YRVIP6NTf2e2s,"2001 Seawolf Park Boulevard, Galveston","{'lat': 29.3232355, 'lng': -94.79799129999999}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,4.3,4.0,,,,,,,,point_of_interest,,,,
13,Baker Hughes,ChIJxYKMsyOeP4YRQRwD7gvQhuE,"1300 Coastwide Road, Galveston","{'lat': 29.3246388, 'lng': -94.78708449999999}",OPERATIONAL,"['general_contractor', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,general_contractor,,,,
14,Martin Mysteries Oil Services,ChIJxYKMsyOeP4YRqkrIn4WsO8M,"1300 Coastwide Road, Galveston","{'lat': 29.3246388, 'lng': -94.78708449999999}",OPERATIONAL,"['car_repair', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,car_repair,,,,
15,M-I Swaco,ChIJYxqdLSKeP4YRQrXqk4493cw,"1300 Coastwide Road, Galveston","{'lat': 29.324723, 'lng': -94.78704839999999}",OPERATIONAL,"['general_contractor', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,general_contractor,,,,
16,Gulf Copper Dry Dock & Rig Repair,ChIJkcuFCBGeP4YR811z3kHkh2M,"2920 Todd Road, Galveston","{'lat': 29.3167494, 'lng': -94.7974887}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,4.3,23.0,,,,,,,,point_of_interest,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']","[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
17,GC Energy Services,ChIJix_0Ixd5P4YR9OIYLzuUcb8,"2920 Todd Road, Galveston","{'lat': 29.3166955, 'lng': -94.797432}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,,,,,,,,,,point_of_interest,,,,
18,Albatross Hall,ChIJmVLtduOdP4YR0GUQfLuyC2Q,Galveston,"{'lat': 29.31710099999999, 'lng': -94.8148709}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.0,1.0,,,,,,,,university,,,,
19,"Enjet, LLC",ChIJB6Qsf-OdP4YRbA8KxRFXF_U,"3801 Gti Boulevard, Galveston","{'lat': 29.3170036, 'lng': -94.8154572}",CLOSED_TEMPORARILY,"['point_of_interest', 'establishment']",,,,,,,,,,,,,,point_of_interest,,,,
20,Valero,ChIJ3-W5X-OdP4YRxWc-PD4nl3g,"602 Seawolf Parkway, Galveston","{'lat': 29.318397, 'lng': -94.815658}",OPERATIONAL,"['gas_station', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,gas_station,,,,
21,Pelican Island Groceries,ChIJsUcIaOOdP4YR4CveDPcTn54,"602 Seawolf Parkway, Galveston","{'lat': 29.3184219, 'lng': -94.81540299999999}",OPERATIONAL,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,3.9,119.0,,,,,,,,supermarket,"[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']","[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200910:00\u202fPM']"
22,Galveston Naval Museum,ChIJ19QI2WueP4YRItU58YB2g8A,"100 Seawolf Park Boulevard, Galveston","{'lat': 29.3344846, 'lng': -94.7794048}",OPERATIONAL,"['tourist_attraction', 'park', 'museum', 'point_of_interest', 'establishment']",,,,,4.7,1558.0,,,,,,,,tourist_attraction,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']","[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']"
23,Parugala de Galveston,ChIJp2ugvl13P4YR91xvcGKFZhw,"952F+94, Galveston","{'lat': 29.3509738, 'lng': -94.8271977}",OPERATIONAL,"['tourist_attraction', 'point_of_interest', 'establishment']",,,,,5.0,2.0,,,,,,,,tourist_attraction,,,,
24,Ferry Road Food Mart,ChIJb9qu0zKeP4YRr39UP75jg9k,"502 Ferry Road, Galveston","{'lat': 29.3190383, 'lng': -94.76934539999999}",OPERATIONAL,"['gas_station', 'atm', 'finance', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,,3.8,130.0,,,,,,,,gas_station,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
25,Porch Cafe,ChIJF0XV78KfP4YR2eG0L_zKvKM,"1625 East Beach Drive #2A, Galveston","{'lat': 29.3195806, 'lng': -94.75019160000001}",OPERATIONAL,"['restaurant', 'food', 'lodging', 'point_of_interest', 'establishment']",,,,3.0,4.1,332.0,,,,,,,,restaurant,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']","[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']"
26,Apffel Park Restaurant,ChIJo7biIyOfP4YRk81MeM-ldmk,"1923 Boddeker Road, Galveston","{'lat': 29.3291351, 'lng': -94.73486059999999}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,5.0,3.0,,,,,,,,restaurant,,,,
27,Main Kitchen,ChIJLbHmzayfP4YRrnYAfXXjpWg,"502 Ferry Road Unit B, Galveston","{'lat': 29.3190725, 'lng': -94.7694545}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,restaurant,"[{'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: 12:00\u2009–\u20096:00\u202fPM', 'Tuesday: 12:00\u2009–\u20096:00\u202fPM', 'Wednesday: 12:00\u2009–\u20096:00\u202fPM', 'Thursday: 12:00\u2009–\u20096:00\u202fPM', 'Friday: 12:00\u2009–\u20096:00\u202fPM', 'Saturday: 12:00\u2009–\u20096:00\u202fPM', 'Sunday: Closed']","[{'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: 12:00\u2009–\u20096:00\u202fPM', 'Tuesday: 12:00\u2009–\u20096:00\u202fPM', 'Wednesday: 12:00\u2009–\u20096:00\u202fPM', 'Thursday: 12:00\u2009–\u20096:00\u202fPM', 'Friday: 12:00\u2009–\u20096:00\u202fPM', 'Saturday: 12:00\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
28,Vegan Gxng,ChIJf46i4Z1_P4YRy3JhRk4PMj8,"300 Ferry Road, Galveston","{'lat': 29.3186092, 'lng': -94.76938100000001}",CLOSED_TEMPORARILY,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,5.0,5.0,,,,,,,,restaurant,,,,
29,Scottish Inns,ChIJg6txiiyeP4YR_RJMU6FE4u4,"928 Ferry Road, Galveston","{'lat': 29.3260126, 'lng': -94.77181}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,3.4,378.0,,,,,,,,lodging,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
30,The Galvestonian,ChIJI4JdosOfP4YRY8Xuq-FxvT8,"1401 East Beach Drive, Galveston","{'lat': 29.3182857, 'lng': -94.751745}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,4.5,627.0,,,,,,,,lodging,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
31,Best Western Plus Seawall Inn & Suites By The Beach,ChIJKwBkvcqfP4YR9i1ai3m0MqU,"102 Seawall Boulevard, Galveston","{'lat': 29.3111696, 'lng': -94.7679046}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,4.2,1172.0,,,,,,,,lodging,,,,
32,SeaBatical Galveston,ChIJk_axX8afP4YRcoaRbR-lnKI,"415 East Beach Drive #207, Galveston","{'lat': 29.3147262, 'lng': -94.7565635}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,lodging,,,,
33,Palisade Palms,ChIJD86kKcSfP4YRFFru1qwvMZM,"801 East Beach Drive, Galveston","{'lat': 29.3159962, 'lng': -94.75462669999999}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,4.6,125.0,,,,,,,,point_of_interest,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
34,Red Carpet Inn,ChIJg6txiiyeP4YR-DjPquWhFTE,"928 Ferry Road, Galveston","{'lat': 29.325894, 'lng': -94.771716}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,3.7,86.0,,,,,,,,lodging,,,,
35,Ferry Road Apartments,ChIJx8qFDy2eP4YRdv59yjW92FE,"810 Ferry Road, Galveston","{'lat': 29.3236586, 'lng': -94.77115889999999}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,2.4,8.0,,,,,,,,point_of_interest,,,,
