,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
221,Dawn Donuts Galveston,"706 Holiday Drive, Galveston","{'lat': 29.3083743, 'lng': -94.7708081}","Dawn Donuts Galveston706 Holiday Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
222,McDonald's,"517 Seawall Boulevard, Galveston","{'lat': 29.30509, 'lng': -94.7715399}","McDonald's517 Seawall Boulevard, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
224,Mario's Seawall Italian Restaurant,"628 Seawall Boulevard, Galveston","{'lat': 29.3043293, 'lng': -94.77317719999999}","Mario's Seawall Italian Restaurant628 Seawall Boulevard, Galveston","Parking utmb365-379 11th Street, Galveston",86
225,Russo's New York Pizzeria & Italian Kitchen - Galveston,"500 Seawall Boulevard #300, Galveston","{'lat': 29.3070053, 'lng': -94.7717454}","Russo's New York Pizzeria & Italian Kitchen - Galveston500 Seawall Boulevard #300, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
226,Subway,"500 Seawall Boulevard Suite 400, Galveston","{'lat': 29.3063837, 'lng': -94.7718834}","Subway500 Seawall Boulevard Suite 400, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
227,Subway,"5902 A Broadway, Galveston","{'lat': 29.3064258, 'lng': -94.7718443}","Subway5902 A Broadway, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
228,Rice & Curry Indo-Pak Cuisine,"712 7th Street, Galveston","{'lat': 29.30747, 'lng': -94.7743744}","Rice & Curry Indo-Pak Cuisine712 7th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
230,Chili's Grill & Bar,"500 Seawall Boulevard Ste 100, Galveston","{'lat': 29.30602, 'lng': -94.77216399999999}","Chili's Grill & Bar500 Seawall Boulevard Ste 100, Galveston","UTMB 17E113-191 11th Street, Galveston",86
232,Gorditas Mexico,"712 Seawall Boulevard, Galveston","{'lat': 29.3035356, 'lng': -94.7738797}","Gorditas Mexico712 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
234,Schlotzsky's,"500 Seawall Boulevard Ste 700, Galveston","{'lat': 29.3064871, 'lng': -94.77178579999999}","Schlotzsky's500 Seawall Boulevard Ste 700, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
235,Seawall Cuisine,"500 Seawall Boulevard suite 220, Galveston","{'lat': 29.3065299, 'lng': -94.7723846}","Seawall Cuisine500 Seawall Boulevard suite 220, Galveston","UTMB 17E113-191 11th Street, Galveston",86
236,It's Just Wings,"500 Seawall Boulevard #100, Galveston","{'lat': 29.30602, 'lng': -94.77216399999999}","It's Just Wings500 Seawall Boulevard #100, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
237,Salvitas,"708 Holiday Drive, Galveston","{'lat': 29.3083103, 'lng': -94.7707009}","Salvitas708 Holiday Drive, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
238,Taqueria Sabrozona,"601 Broadway Avenue J, Galveston","{'lat': 29.3045567, 'lng': -94.772948}","Taqueria Sabrozona601 Broadway Avenue J, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
239,Refresqueria Mexico,"724 Seawall Boulevard, Galveston","{'lat': 29.30341049999999, 'lng': -94.7739655}","Refresqueria Mexico724 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
241,La Peska Seafood Restaurant,"728 Seawall Boulevard, Galveston","{'lat': 29.3030908, 'lng': -94.7741949}","La Peska Seafood Restaurant728 Seawall Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
251,Emerald Wine Room,"500 Seawall Boulevard, Galveston","{'lat': 29.3065933, 'lng': -94.7721466}","Emerald Wine Room500 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
253,Goldblum Randall M MD,"300 University Boulevard, Galveston","{'lat': 29.311179, 'lng': -94.77390799999999}","Goldblum Randall M MD300 University Boulevard, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
254,"Praveena Gupta, OD","700 University Boulevard, Galveston","{'lat': 29.3076035, 'lng': -94.772803}","Praveena Gupta, OD700 University Boulevard, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
256,UTMB Geriatric Medicine,"700 University Boulevard, Galveston","{'lat': 29.307643, 'lng': -94.77287109999999}","UTMB Geriatric Medicine700 University Boulevard, Galveston","UTMB 17E113-191 11th Street, Galveston",86
315,Mobil,"602 Broadway Avenue J, Galveston","{'lat': 29.30553, 'lng': -94.77315000000002}","Mobil602 Broadway Avenue J, Galveston","Mobilelink2621 Broadway Avenue J, Galveston",90
317,Sandpiper RV Resort,"201 Seawall Boulevard, Galveston","{'lat': 29.3090688, 'lng': -94.76846239999999}","Sandpiper RV Resort201 Seawall Boulevard, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
319,Coastal Cottages,"1102 8th Street, Galveston","{'lat': 29.3034311, 'lng': -94.77424529999999}","Coastal Cottages1102 8th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
321,The Rustic Sea of Galveston,"809 Sealy Avenue, Galveston","{'lat': 29.30522939999999, 'lng': -94.7755842}","The Rustic Sea of Galveston809 Sealy Avenue, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
324,The Yellow Beach House,"819 9th Street, Galveston","{'lat': 29.3054737, 'lng': -94.77658029999999}","The Yellow Beach House819 9th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
325,Palm House,"811 10th Street, Galveston","{'lat': 29.3054221, 'lng': -94.77783360000001}","Palm House811 10th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
326,Starbucks,"102 Kempner Street, Galveston","{'lat': 29.308265, 'lng': -94.793302}","Starbucks102 Kempner Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
327,Yaga's Cafe,"2314 The Strand, Galveston","{'lat': 29.3071481, 'lng': -94.79495179999999}","Yaga's Cafe2314 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
329,MOD Coffeehouse,"2126 Postoffice St, Galveston","{'lat': 29.305025, 'lng': -94.7921056}","MOD Coffeehouse2126 Postoffice St, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
330,Go Nuts and Beans,"102 20th Street ste c, Galveston","{'lat': 29.3087399, 'lng': -94.79104029999999}","Go Nuts and Beans102 20th Street ste c, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
331,Power Meater 500,"1904 Wharf Road, Galveston","{'lat': 29.31049789999999, 'lng': -94.78996389999999}","Power Meater 5001904 Wharf Road, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
332,Hey Mikey's Ice Cream,"2120 Postoffice St, Galveston","{'lat': 29.3051204, 'lng': -94.79194}","Hey Mikey's Ice Cream2120 Postoffice St, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
333,Fisherman's Wharf,"2200 Harborside Drive, Galveston","{'lat': 29.3089314, 'lng': -94.7936367}","Fisherman's Wharf2200 Harborside Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
334,Willie G's Seafood & Steaks,"2100 Harborside Drive, Galveston","{'lat': 29.309303, 'lng': -94.79280299999999}","Willie G's Seafood & Steaks2100 Harborside Drive, Galveston","UTMB 17E113-191 11th Street, Galveston",86
335,Little Daddy’s Gumbo Bar - Galveston,"2107 Postoffice Street, Galveston","{'lat': 29.304882, 'lng': -94.79147340000002}","Little Daddy’s Gumbo Bar - Galveston2107 Postoffice Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
336,Saltwater Grill,"2017 Postoffice Street, Galveston","{'lat': 29.3050765, 'lng': -94.79064299999999}","Saltwater Grill2017 Postoffice Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
337,Rudy & Paco Restaurant and Bar,"2028 Postoffice St, Galveston","{'lat': 29.3053363, 'lng': -94.79108099999999}","Rudy & Paco Restaurant and Bar2028 Postoffice St, Galveston","UTMB 17E113-191 11th Street, Galveston",86
339,Black Pearl Oyster Bar,"327 23rd Street, Galveston","{'lat': 29.3054649, 'lng': -94.7940474}","Black Pearl Oyster Bar327 23rd Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
342,Huli Huli Hut,"312 19th Street, Galveston","{'lat': 29.3071699, 'lng': -94.78923549999999}","Huli Huli Hut312 19th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
343,Hubcap Grill,"2021 The Strand #3, Galveston","{'lat': 29.3076238, 'lng': -94.791623}","Hubcap Grill2021 The Strand #3, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
344,Trattoria La Vigna,"412 20th Street, Galveston","{'lat': 29.306202, 'lng': -94.7901585}","Trattoria La Vigna412 20th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
345,Jimmy John's,"102-B Kempner Street, Galveston","{'lat': 29.3082998, 'lng': -94.79313069999999}","Jimmy John's102-B Kempner Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
346,Taquilo's,"2101 Postoffice Street, Galveston","{'lat': 29.30492989999999, 'lng': -94.791404}","Taquilo's2101 Postoffice Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
347,Stuttgarden Tavern,"111 23rd Street, Galveston","{'lat': 29.3077483, 'lng': -94.7947919}","Stuttgarden Tavern111 23rd Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
348,Sky Bar,"2105 Postoffice St, Galveston","{'lat': 29.3049316, 'lng': -94.7914472}","Sky Bar2105 Postoffice St, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
349,Coastal Grill,"1827 The Strand, Galveston","{'lat': 29.308158, 'lng': -94.78945499999999}","Coastal Grill1827 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
350,Cruise Plaza,"112 19th Street, Galveston","{'lat': 29.3090318, 'lng': -94.7897517}","Cruise Plaza112 19th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
351,La Mixteca,"1818 Mechanic Street, Galveston","{'lat': 29.307792, 'lng': -94.789087}","La Mixteca1818 Mechanic Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
352,OLD OLEANDER℠,"2016 The Strand, Galveston","{'lat': 29.3080657, 'lng': -94.7915833}","OLD OLEANDER℠2016 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
353,Galveston Island Tacos,"2028 The Strand, Galveston","{'lat': 29.3081277, 'lng': -94.792099}","Galveston Island Tacos2028 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
354,Katie's Seafood House,"2000 Wharf Road, Galveston","{'lat': 29.3100166, 'lng': -94.7912952}","Katie's Seafood House2000 Wharf Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
355,El Pinoy Restaurante & Groceries,"101 21st Street #4, Galveston","{'lat': 29.3084175, 'lng': -94.79261439999999}","El Pinoy Restaurante & Groceries101 21st Street #4, Galveston","UTMB 17E113-191 11th Street, Galveston",86
356,Brewchachos Tacos & Cantina,"2110 The Strand, Galveston","{'lat': 29.3078756, 'lng': -94.7925997}","Brewchachos Tacos & Cantina2110 The Strand, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
357,Pier 21,"2100 Harborside Drive, Galveston","{'lat': 29.3092461, 'lng': -94.7927814}","Pier 212100 Harborside Drive, Galveston","Pier 21 Lot 52300 Harborside Drive, Galveston",90
358,Rosario`s flying pizza and pub,"2121 The Strand, Galveston","{'lat': 29.3073255, 'lng': -94.7928341}","Rosario`s flying pizza and pub2121 The Strand, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
359,Shucks Tavern,"414 21st Street, Galveston","{'lat': 29.3055721, 'lng': -94.7912194}","Shucks Tavern414 21st Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
360,Mama Teresa's Flying Pizza,"416 21st Street, Galveston","{'lat': 29.3055494, 'lng': -94.7911778}","Mama Teresa's Flying Pizza416 21st Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
361,MarMo Cafe & Lounge,"2121 Market Street suite 101, Galveston","{'lat': 29.3056002, 'lng': -94.792103}","MarMo Cafe & Lounge2121 Market Street suite 101, Galveston","UTMB 17E113-191 11th Street, Galveston",86
362,Vargas Cut and Catch,"2102 Postoffice Street, Galveston","{'lat': 29.3052268, 'lng': -94.7913854}","Vargas Cut and Catch2102 Postoffice Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
363,Parking lot,"Old Galveston Square, 2217 The Strand, Galveston","{'lat': 29.3072663, 'lng': -94.7936027}","Parking lotOld Galveston Square, 2217 The Strand, Galveston",Parking lotGalveston,86
365,The Garden Thai Cuisine,"216 23rd Street, Galveston","{'lat': 29.3065697, 'lng': -94.7940546}","The Garden Thai Cuisine216 23rd Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
366,Vintage Crown Michelada Bar,"215 23rd Street, Galveston","{'lat': 29.3065367, 'lng': -94.7944665}","Vintage Crown Michelada Bar215 23rd Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
371,Old Quarter Acoustic Cafe,"413 20th Street, Galveston","{'lat': 29.3057816, 'lng': -94.79031529999999}","Old Quarter Acoustic Cafe413 20th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
373,Drunken Monkeyz,"202 20th Street, Galveston","{'lat': 29.30795939999999, 'lng': -94.790723}","Drunken Monkeyz202 20th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
374,Peanut Butter Warehouse,"100 20th Street, Galveston","{'lat': 29.3087443, 'lng': -94.7908921}","Peanut Butter Warehouse100 20th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
380,Union Public House Galveston,"114 20th Street, Galveston","{'lat': 29.3084752, 'lng': -94.79090699999999}","Union Public House Galveston114 20th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
381,3 Doors Down Bar,"102 20th Street suite a, Galveston","{'lat': 29.3086567, 'lng': -94.7908946}","3 Doors Down Bar102 20th Street suite a, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
382,Casa de Luis,"1630 Mechanic Street, Galveston","{'lat': 29.3083841, 'lng': -94.7870137}","Casa de Luis1630 Mechanic Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
384,Lapalapa,"2120 The Strand, Galveston","{'lat': 29.307805, 'lng': -94.7928646}","Lapalapa2120 The Strand, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
385,The Wine Next Door,"418 21st Street, Galveston","{'lat': 29.3054682, 'lng': -94.7911713}","The Wine Next Door418 21st Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
386,Old Galveston Club,"418 21st Street, Galveston","{'lat': 29.3054731, 'lng': -94.79120239999999}","Old Galveston Club418 21st Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
391,Taberna en Galveston,"111 23rd Street Rear, Galveston","{'lat': 29.3077193, 'lng': -94.7947178}","Taberna en Galveston111 23rd Street Rear, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
392,Bar,"111 23rd Street Rear, Galveston","{'lat': 29.307726, 'lng': -94.7947222}","Bar111 23rd Street Rear, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
395,Harbor House Hotel & Marina at Pier 21,"28 Pier 21, Galveston","{'lat': 29.30958859999999, 'lng': -94.79255769999999}","Harbor House Hotel & Marina at Pier 2128 Pier 21, Galveston","UTMB 17E113-191 11th Street, Galveston",86
397,G1 Corporation,"305 21st Street, Galveston","{'lat': 29.306563, 'lng': -94.7919576}","G1 Corporation305 21st Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
401,The Grand 1894 Opera House,"2020 Postoffice St, Galveston","{'lat': 29.3053967, 'lng': -94.79085429999999}","The Grand 1894 Opera House2020 Postoffice St, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
405,Galveston Party Boats,"1700 Harborside Drive, Galveston","{'lat': 29.3107189, 'lng': -94.78955599999999}","Galveston Party Boats1700 Harborside Drive, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
406,Roof Garden,"2214 The Strand, Galveston","{'lat': 29.3076434, 'lng': -94.79390380000001}","Roof Garden2214 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
407,Plant Leadership Systems,"2200 Market Street # 608, Galveston","{'lat': 29.306019, 'lng': -94.7933539}","Plant Leadership Systems2200 Market Street # 608, Galveston","UTMB 17E113-191 11th Street, Galveston",86
410,Sealy & Smith Foundation,"2200 Market Street # 500, Galveston","{'lat': 29.306019, 'lng': -94.7933539}","Sealy & Smith Foundation2200 Market Street # 500, Galveston","UTMB 17E113-191 11th Street, Galveston",86
412,Saint Marys School,Galveston,"{'lat': 29.3037745, 'lng': -94.78991359999999}",Saint Marys SchoolGalveston,"Rebecca Sealy Hospital404 Saint Marys Boulevard, Galveston",86
414,Frost Bank,"2201 Market Street, Galveston","{'lat': 29.305425, 'lng': -94.79266890000001}","Frost Bank2201 Market Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
415,Strand District Office Space,"2228 Mechanic Street, Galveston","{'lat': 29.3065055, 'lng': -94.79383899999999}","Strand District Office Space2228 Mechanic Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
416,Aqua Safari Charters,"Pier 19 Slip 8W, Galveston","{'lat': 29.3103514, 'lng': -94.7904094}","Aqua Safari ChartersPier 19 Slip 8W, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
420,Danner's Inc,"1828 Mechanic Street, Galveston","{'lat': 29.307816, 'lng': -94.789339}","Danner's Inc1828 Mechanic Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
421,Wallenius Wilhelmsen Logistics,"1904 Wharf Road, Galveston","{'lat': 29.3105549, 'lng': -94.7899578}","Wallenius Wilhelmsen Logistics1904 Wharf Road, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
422,The Galveston Lawyers,"305 21st Street, Galveston","{'lat': 29.3068864, 'lng': -94.7922426}","The Galveston Lawyers305 21st Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
423,Dakine Decor,"2029 The Strand, Galveston","{'lat': 29.3076743, 'lng': -94.7919144}","Dakine Decor2029 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
424,Yaga Clothing Store,"2109 The Strand, Galveston","{'lat': 29.30741, 'lng': -94.79241999999999}","Yaga Clothing Store2109 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
425,DAVID MULLICAN ARCHITECT INC,"1622 Market Street, Galveston","{'lat': 29.3074343, 'lng': -94.786615}","DAVID MULLICAN ARCHITECT INC1622 Market Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
426,Kilgore Mediation,"104 21st Street #101, Galveston","{'lat': 29.308498, 'lng': -94.79195200000001}","Kilgore Mediation104 21st Street #101, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
427,Junior League of Galveston Co,"210 22nd Street, Galveston","{'lat': 29.30713, 'lng': -94.7929284}","Junior League of Galveston Co210 22nd Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
428,Seafarer's Center of Galveston,"221 20th Street, Galveston","{'lat': 29.30730999999999, 'lng': -94.7910136}","Seafarer's Center of Galveston221 20th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
429,Boat Service of Galveston,"19 Pier 21, Galveston","{'lat': 29.3094247, 'lng': -94.7927713}","Boat Service of Galveston19 Pier 21, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
430,Jessicas Mobile Notary 24 Hours Open Late,"2116 1/2 The Strand, Galveston","{'lat': 29.3076129, 'lng': -94.7927155}","Jessicas Mobile Notary 24 Hours Open Late2116 1/2 The Strand, Galveston","Parking utmb365-379 11th Street, Galveston",86
431,ChargePoint Charging Station,"502 20th Street, Galveston","{'lat': 29.3054032, 'lng': -94.7899009}","ChargePoint Charging Station502 20th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
432,Conversation Pieces,"2114 The Strand, Galveston","{'lat': 29.3077464, 'lng': -94.79275659999999}","Conversation Pieces2114 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
436,Berkshire Hathaway HomeServices Anderson Properties,"2002 The Strand Suite 103, Galveston","{'lat': 29.3082669, 'lng': -94.7912953}","Berkshire Hathaway HomeServices Anderson Properties2002 The Strand Suite 103, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
438,Galveston Economic Development Partnership,"1700 The Strand, Galveston","{'lat': 29.309164, 'lng': -94.7882023}","Galveston Economic Development Partnership1700 The Strand, Galveston","Parking utmb365-379 11th Street, Galveston",86
439,The Trolley Station Wedding Venue,"2021 The Strand, Galveston","{'lat': 29.3076467, 'lng': -94.79149}","The Trolley Station Wedding Venue2021 The Strand, Galveston","UTMB 17E113-191 11th Street, Galveston",86
441,Hendley Green,"2028 The Strand, Galveston","{'lat': 29.308127, 'lng': -94.79187399999999}","Hendley Green2028 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
442,Mysticatz,"2021 The Strand, Galveston","{'lat': 29.3077533, 'lng': -94.79177109999999}","Mysticatz2021 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
443,Ports America Inc,"1000 Pier 21, Galveston","{'lat': 29.3102795, 'lng': -94.7900841}","Ports America Inc1000 Pier 21, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
444,"Gina Hickman, Realtor","104 Moody Avenue, Galveston","{'lat': 29.30828, 'lng': -94.7921369}","Gina Hickman, Realtor104 Moody Avenue, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
445,The Law Office of Mike Guarino,"Moody Avenue, 104 21st Street #101, Galveston","{'lat': 29.3082801, 'lng': -94.792137}","The Law Office of Mike GuarinoMoody Avenue, 104 21st Street #101, Galveston","East Beach Free ParkingApffel Park Road, Galveston",86
447,Christ Chapel,"402 18th Street, Galveston","{'lat': 29.3068184, 'lng': -94.7877803}","Christ Chapel402 18th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
448,Lamb Agency For Marine & Bonds,"2200 Market Street Suite 325, Galveston","{'lat': 29.30661259999999, 'lng': -94.79185539999999}","Lamb Agency For Marine & Bonds2200 Market Street Suite 325, Galveston","Parking utmb365-379 11th Street, Galveston",86
449,Merrill Lynch Wealth Management,"306 22nd Street, Galveston","{'lat': 29.3063924, 'lng': -94.7926653}","Merrill Lynch Wealth Management306 22nd Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
450,"Pedro J. Lozano, DC","520 20th Street, Galveston","{'lat': 29.3048946, 'lng': -94.78971810000002}","Pedro J. Lozano, DC520 20th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
451,The Center for Counseling and Coaching,"305 21st Street #254, Galveston","{'lat': 29.306563, 'lng': -94.7919576}","The Center for Counseling and Coaching305 21st Street #254, Galveston","Parking utmb365-379 11th Street, Galveston",86
452,Bob's Grocery,"509 21st Street, Galveston","{'lat': 29.3047654, 'lng': -94.7912298}","Bob's Grocery509 21st Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
457,Saengerfest Park,"2302 The Strand, Galveston","{'lat': 29.3073608, 'lng': -94.79477849999999}","Saengerfest Park2302 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
458,Rage Cage,"1922 The Strand, Galveston","{'lat': 29.3084538, 'lng': -94.79072289999999}","Rage Cage1922 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
461,Nia Culture Center,"2217 The Strand, Galveston","{'lat': 29.3070637, 'lng': -94.7941601}","Nia Culture Center2217 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
462,Busters Old Time Photos Galveston Texas,"2217 The Strand #105, Galveston","{'lat': 29.3070637, 'lng': -94.7941601}","Busters Old Time Photos Galveston Texas2217 The Strand #105, Galveston","Parking utmb365-379 11th Street, Galveston",86
463,Trumpet Sculpture,"2217 The Strand, Galveston","{'lat': 29.3069754, 'lng': -94.7941687}","Trumpet Sculpture2217 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
464,East End Historical District Association,"1501 Postoffice Street, Galveston","{'lat': 29.30799309999999, 'lng': -94.78498809999999}","East End Historical District Association1501 Postoffice Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
466,Mallory Produce Building,"2112 The Strand, Galveston","{'lat': 29.3078728, 'lng': -94.7926576}","Mallory Produce Building2112 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
467,Hospitality Staffing Solutions,"305 21st Street #176, Galveston","{'lat': 29.3065731, 'lng': -94.79192309999999}","Hospitality Staffing Solutions305 21st Street #176, Galveston","UTMB 17E113-191 11th Street, Galveston",86
468,Apartments on Strand,"2, 2118 1, The Strand, Galveston","{'lat': 29.3077515, 'lng': -94.792805}","Apartments on Strand2, 2118 1, The Strand, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
470,Motel for cruise,"1701 Market Street, Galveston","{'lat': 29.3070445, 'lng': -94.7870635}","Motel for cruise1701 Market Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
472,Domum de Vencé,"1701 Market Street, Galveston","{'lat': 29.3069433, 'lng': -94.7870719}","Domum de Vencé1701 Market Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
