order,Name,Address,Coordinates,lats,longs,euc_diff
38,Mario's Ristorante,"2202 61st Street, Galveston",POINT (-94.83105309999999 29.27739529999999),29.27739529999999,-94.83105309999999,0.06685295470018678
39,Leo's Cajun Corner,"3201 Broadway Avenue J, Galveston",POINT (-94.80271850000001 29.2968963),29.2968963,-94.80271850000001,0.04480276263957976
40,Miller's Seawall Grill,"1824 Seawall Boulevard, Galveston",POINT (-94.7844559 29.293238),29.293238,-94.7844559,0.05442221387259953
41,Nopalera,"5001 Broadway Avenue J, Galveston",POINT (-94.8230533 29.29166979999999),29.29166979999999,-94.8230533,0.050913549543578476
42,La Michoacana Meat Market,"3301 Broadway Avenue J, Galveston",POINT (-94.8035795 29.2965863),29.2965863,-94.8035795,0.04496723924543886
43,Subway,"5902 A Broadway, Galveston",POINT (-94.7718443 29.3064258),29.3064258,-94.7718443,0.0518834565514443
44,Sonny's Place,"1206 19th Street, Galveston",POINT (-94.7865791 29.2992722),29.2992722,-94.7865791,0.04811902969067068
45,Brick House Tavern + Tap,"3502A Seawall Boulevard, Galveston",POINT (-94.8011578 29.2817539),29.2817539,-94.8011578,0.0599957610736142
46,Mario's Pizza,"13708 Termini-San Luis Pass Road, Galveston",POINT (-94.937844 29.2084),29.2084,-94.937844,0.18384620993943818
47,Shearn's Seafood and Prime Steaks,"7 Hope Boulevard, Galveston",POINT (-94.850647 29.273078),29.273078,-94.850647,0.07890526163936247
48,McDonald's,"2912 61st Street, Galveston",POINT (-94.8264011 29.26748),29.26748,-94.8264011,0.07523173429803551
49,Circle K,"1927 61st Street, Galveston",POINT (-94.8332434 29.279037),29.279037,-94.8332434,0.06601429726452583
50,The Proletariat Gallery & Public House,"2221 Market Street #100, Galveston",POINT (-94.7935713 29.3053353),29.3053353,-94.7935713,0.039499014209667754
51,Starbucks,"The University of Texas Medical Branch at, 301 University Boulevard, Galveston",POINT (-94.7770571 29.3108034),29.3108034,-94.7770571,0.04508016895321131
52,Gypsy Joynt,"6105 Stewart Road, Galveston",POINT (-94.8315993 29.2740718),29.2740718,-94.8315993,0.07018532515137979
53,MOD Coffeehouse,"2126 Postoffice St, Galveston",POINT (-94.7921056 29.305025),29.305025,-94.7921056,0.040425605851533174
54,McDonald's,"517 Seawall Boulevard, Galveston",POINT (-94.7715399 29.30509),29.30509,-94.7715399,0.0530068170039153
55,Starbucks,"2931 Central City Boulevard, Galveston",POINT (-94.8300421 29.2695972),29.2695972,-94.8300421,0.07403954885176464
56,Shipley Do-Nuts (Galveston),"5401 Broadway Avenue J, Galveston",POINT (-94.8276061 29.2903048),29.2903048,-94.8276061,0.05351317277118888
57,Starbucks,"5730 Seawall Boulevard, Galveston",POINT (-94.824136 29.269011),29.269011,-94.824136,0.07328135847878113
58,Dawn Donuts Stewart Rd,"6304 Stewart Road, Galveston",POINT (-94.8334139 29.2748506),29.2748506,-94.8334139,0.07001518119173891
59,Seawall Coffee Company,"3802 Cove View Boulevard Suite R, Galveston",POINT (-94.867899 29.244604),29.244604,-94.867899,0.11219644496786013
60,Sugar Bean,"11 Evia Main, Galveston",POINT (-94.8704183 29.2610286),29.2610286,-94.8704183,0.09993123588670752
61,Starbucks,"Moody Avenue, Galveston",POINT (-94.8508679 29.2727673),29.2727673,-94.8508679,0.07928513171243694
62,Horizon Espresso,"6101 Seawall Boulevard Suite 3, Galveston",POINT (-94.8252111 29.2649278),29.2649278,-94.8252111,0.07749380495215215
63,"Island Spot hookah Bar , Food & smoke shop (Halal)","1017 61st Street, Galveston",POINT (-94.83770000000001 29.28729819999999),29.28729819999999,-94.83770000000001,0.060204181456386015
64,Teaside Tapioca,"4702 Seawall Boulevard, Galveston",POINT (-94.8131678 29.2744676),29.2744676,-94.8131678,0.06660065453234384
65,McDonald's,"5223 Broadway Avenue J, Galveston",POINT (-94.8257895 29.2909177),29.2909177,-94.8257895,0.05237442337174231
66,CBD American Shaman Galveston,"4619 Fort Crockett Boulevard suite b, Galveston",POINT (-94.8134661 29.276113),29.276113,-94.8134661,0.06496945741255639
67,Willow Coffee,"820 51st Street, Galveston",POINT (-94.8240208 29.2931488),29.2931488,-94.8240208,0.04973539574757435
68,Balance Bean Coffee and Business Bar,"3225 Avenue L, Galveston",POINT (-94.8025656 29.29511029999999),29.29511029999999,-94.8025656,0.04658839424877273
69,Red Light Coffee Roasters,"2728 Market Street, Galveston",POINT (-94.7995497 29.3040468),29.3040468,-94.7995497,0.03856065925690981
70,Freckleberry Teahouse,"2724 Market Street, Galveston",POINT (-94.79937 29.3041968),29.3041968,-94.79937,0.03846855483295574
71,Toujouse,"2300 Ship Mechanic Row Street, Galveston",POINT (-94.79483119999999 29.3062632),29.3062632,-94.79483119999999,0.038127544467763314
72,Hey Mikey's Ice Cream,"2120 Postoffice St, Galveston",POINT (-94.79194 29.3051204),29.3051204,-94.79194,0.04041653717203292
73,Go Nuts and Beans,"102 20th Street ste c, Galveston",POINT (-94.79104029999999 29.3087399),29.3087399,-94.79104029999999,0.03769598408137141
74,Power Meater 500,"1904 Wharf Road, Galveston",POINT (-94.78996389999999 29.31049789999999),29.31049789999999,-94.78996389999999,0.0367924126782822
75,PJ’s coffee,"712 Texas Avenue, Galveston",POINT (-94.77805839999999 29.3114867),29.3114867,-94.77805839999999,0.043879378574202745
76,Moody Gardens,"1 Hope Boulevard, Galveston",POINT (-94.8525073 29.272762),29.272762,-94.8525073,0.08013645288722439
77,Galveston Island Historic Pleasure Pier,"2501 Seawall Boulevard, Galveston",POINT (-94.7902046 29.28752919999999),29.28752919999999,-94.7902046,0.057212783549572745
78,Palm Beach At Moody Gardens,"8928, 1 Hope Boulevard, Galveston",POINT (-94.850972 29.275732),29.275732,-94.850972,0.07680275654314504
79,Schlitterbahn Waterpark Galveston,"2109 Gene Lucas Blvd, Galveston",POINT (-94.85173689999999 29.2703671),29.2703671,-94.85173689999999,0.08179486039247376
80,Rainforest Pyramid,"1 Hope Boulevard, Galveston",POINT (-94.852722 29.27549299999999),29.27549299999999,-94.852722,0.07793963508103749
81,Walmart Supercenter,"6702 Seawall Boulevard, Galveston",POINT (-94.8329455 29.2651472),29.2651472,-94.8329455,0.07911445487988696
82,Orange Leaf Frozen Yogurt,"6606 Seawall Boulevard, Galveston",POINT (-94.8319863 29.2638014),29.2638014,-94.8319863,0.0801436531405698
83,Cinnabon,"2705 61st Street Suite H, Galveston",POINT (-94.8297408 29.2719138),29.2719138,-94.8297408,0.07172621923301657
84,Kroger Bakery,Galveston,POINT (-94.8237856 29.2690175),29.2690175,-94.8237856,0.07321064763379652
85,Chef Mary Bass,"1508 39th Street, Galveston",POINT (-94.808531 29.29061189999999),29.29061189999999,-94.808531,0.050442562644963176
86,Cinnabon,"500 Seawall Boulevard, Galveston",POINT (-94.7718225 29.30644910000001),29.30644910000001,-94.7718225,0.0518841812534889
87,Texas Star Bakery,"5425 Broadway Avenue J, Galveston",POINT (-94.82835329999999 29.2903218),29.2903218,-94.82835329999999,0.053740436219492066
88,Donut Palace,"2117 Broadway Avenue J, Galveston",POINT (-94.7903171 29.3002844),29.3002844,-94.7903171,0.04546411443786946
89,PattyCakes Bakery,"704 14th Street, Galveston",POINT (-94.78242000000002 29.3054245),29.3054245,-94.78242000000002,0.04534383113304259
90,Ben & Jerry’s,"4408 Seawall Boulevard, Galveston",POINT (-94.8098002 29.276318),29.276318,-94.8098002,0.06470136846120786
91,Tasty Galvy Treats,"6224 Central City Boulevard, Galveston",POINT (-94.8407933 29.2613148),29.2613148,-94.8407933,0.08525808640733179
92,Royal Creations By Meca,"2110 Ann Marie Lane, Galveston",POINT (-94.843651 29.2731481),29.2731481,-94.843651,0.07552445055112113
93,Home Cut Donuts,"6807 Stewart Road, Galveston",POINT (-94.83804599999999 29.2716408),29.2716408,-94.83804599999999,0.07463761110033336
94,Walmart Bakery,"6702 Seawall Boulevard, Galveston",POINT (-94.8329455 29.2651472),29.2651472,-94.8329455,0.07911445487988696
95,Lovejewel Treasure Treats,"6341 Stewart Road #120, Galveston",POINT (-94.8347187 29.273798),29.273798,-94.8347187,0.07144216013767117
96,"Incredible Cakes Bakery, LLC","4528 Avenue S Up, Galveston",POINT (-94.8137617 29.2802637),29.2802637,-94.8137617,0.06083838955817658
97,Bakery and Grocery Emmanuel,"2216 45th Street, Galveston",POINT (-94.8133411 29.2824311),29.2824311,-94.8133411,0.05865242381474687
98,Good Dough,"1508 39th Street, Galveston",POINT (-94.808531 29.29061189999999),29.29061189999999,-94.808531,0.050442562644963176
99,Navarro Bakery,"3801 Broadway Avenue J, Galveston",POINT (-94.8093306 29.2951814),29.2951814,-94.8093306,0.04584932587632388
100,Kelin,"3428 Avenue H, Galveston",POINT (-94.8062745 29.2984813),29.2984813,-94.8062745,0.0427450111128409
101,Bakery and Grocery Emmanuel,"2216 Avenue R, Galveston",POINT (-94.7939281 29.2871565),29.2871565,-94.7939281,0.056355304019433956
102,Snow Flake Donuts,"3011 Broadway Avenue J, Galveston",POINT (-94.8004139 29.2974861),29.2974861,-94.8004139,0.044686026929017936
103,Galveston Bagel Company,"1110 23rd Street, Galveston",POINT (-94.7913851 29.2989118),29.2989118,-94.7913851,0.04624588240552427
104,Dawn Donuts Galveston,"706 Holiday Drive, Galveston",POINT (-94.7708081 29.3083743),29.3083743,-94.7708081,0.05140145538738821
105,"The San Luis Resort, Spa and Conference Center","5222 Seawall Boulevard, Galveston",POINT (-94.8182391 29.2725405),29.2725405,-94.8182391,0.06890914399051874
106,Old Quarter Acoustic Cafe,"413 20th Street, Galveston",POINT (-94.79031529999999 29.3057816),29.3057816,-94.79031529999999,0.04061360050591789
107,The Cove,"5222 Seawall Boulevard, Galveston",POINT (-94.8183102 29.2725491),29.2725491,-94.8183102,0.06890860469303026
108,Tin Cup's Caddy Shack,"9020 Stewart Road, Galveston",POINT (-94.85563169999999 29.2539288),29.2539288,-94.85563169999999,0.09807936593536885
109,Galveston Island Brewing,"8423 Stewart Road, Galveston",POINT (-94.8491631 29.2556348),29.2556348,-94.8491631,0.09372031107207383
110,Hooters,"6028 Heards Lane, Galveston",POINT (-94.8324592 29.2797189),29.2797189,-94.8324592,0.06510602577721954
111,B. Jiggers Lounge,"5002 Seawall Boulevard, Galveston",POINT (-94.81666829999999 29.27250129999999),29.27250129999999,-94.81666829999999,0.06878984396971154
112,Woody's,"2926 Seawall Boulevard, Galveston",POINT (-94.79550499999999 29.2852691),29.2852691,-94.79550499999999,0.057731818709382335
113,Gizmo Bar,"2102 26th Street, Galveston",POINT (-94.79200399999999 29.289397),29.289397,-94.79200399999999,0.05483731956512189
114,Daiquiri Time Out,"2701 Market Street, Galveston",POINT (-94.7986237 29.3040013),29.3040013,-94.7986237,0.03887745555872717
115,Carlos Cabeza Cigar Shop,"318 27th Street, Galveston",POINT (-94.7984292 29.3044979),29.3044979,-94.7984292,0.03846562662619521
116,23rd Street Station Piano Bar,"1706 23rd Street, Galveston",POINT (-94.7894671 29.29370280000001),29.29370280000001,-94.7894671,0.05178332959751611
117,Galvez Bar & Grill,"2024 Seawall Boulevard, Galveston",POINT (-94.7863059 29.2928214),29.2928214,-94.7863059,0.0539329354633148
118,Sound Bar,"2411 Mechanic Street, Galveston",POINT (-94.7955784 29.3056645),29.3056645,-94.7955784,0.03837708011904229
119,Albatross,"815 21st Street, Galveston",POINT (-94.79035309999999 29.3019922),29.3019922,-94.79035309999999,0.04392412145355045
120,Stuttgarden Tavern,"111 23rd Street, Galveston",POINT (-94.7947919 29.3077483),29.3077483,-94.7947919,0.03679576684669259
121,Murphy's Pub,"213-215 22nd Street, Galveston",POINT (-94.7932415 29.3067907),29.3067907,-94.7932415,0.0383368974642246
122,Hubcap Grill,"2021 The Strand #3, Galveston",POINT (-94.791623 29.3076238),29.3076238,-94.791623,0.03836563039931521
123,Drunken Monkeyz,"202 20th Street, Galveston",POINT (-94.790723 29.30795939999999),29.30795939999999,-94.790723,0.03852840554829477
124,Peanut Butter Warehouse,"100 20th Street, Galveston",POINT (-94.7908921 29.3087443),29.3087443,-94.7908921,0.03776900295524757
125,Huli Huli Hut,"312 19th Street, Galveston",POINT (-94.78923549999999 29.3071699),29.3071699,-94.78923549999999,0.039979391515357565
126,Gloria's Lounge,"4126 Avenue S, Galveston",POINT (-94.80905299999999 29.2814789),29.2814789,-94.80905299999999,0.059554472867750514
127,Woody's Bar,"11149 Termini-San Luis Pass Road, Galveston",POINT (-94.8779656 29.23954989999999),29.23954989999999,-94.8779656,0.12183917526204369
128,Waterman's Restaurant,"14302 Stewart Road, Galveston",POINT (-94.949303 29.20747099999999),29.20747099999999,-94.949303,0.1926035245002459
129,Float Pool & Patio Bar,"2828 Seawall Boulevard, Galveston",POINT (-94.7944124 29.2859177),29.2859177,-94.7944124,0.05740264701750464
130,Chili's Grill & Bar,"500 Seawall Boulevard Ste 100, Galveston",POINT (-94.77216399999999 29.30602),29.30602,-94.77216399999999,0.05191826842690986
131,The West End Marina and Restaurants,"21706 Burnet Drive, Galveston",POINT (-95.04703669999999 29.14499999999999),29.14499999999999,-95.04703669999999,0.3071878635070878
132,Brews Brothers,"2404 The Strand, Galveston",POINT (-94.7958692 29.3069004),29.3069004,-94.7958692,0.03712606304577339
133,Drip,"3204 Seawall Boulevard, Galveston",POINT (-94.7981973 29.28366229999999),29.28366229999999,-94.7981973,0.05866101522495838
134,Buckshot Saloon,"2409 Market Street, Galveston",POINT (-94.7952778 29.3047222),29.3047222,-94.7952778,0.03936217739857755
135,Robert's Lafitte,"2501 Avenue Q, Galveston",POINT (-94.7911531 29.2896039),29.2896039,-94.7911531,0.054936703595943985
136,Beerfoot Beach Bar,"2816 Avenue R 1/2, Galveston",POINT (-94.7942047 29.2863254),29.2863254,-94.7942047,0.057070445405961234
137,Press Box,"2401 Postoffice Street, Galveston",POINT (-94.7948097 29.3040367),29.3040367,-94.7948097,0.0401757818588077
138,Lucky Lounge,"904 Avenue M, Galveston",POINT (-94.7754461 29.30163689999999),29.30163689999999,-94.7754461,0.05273064671935851
139,Tsunami Tequila Emporium,"2314 The Strand, Galveston",POINT (-94.7951202 29.30720519999999),29.30720519999999,-94.7951202,0.0371502612119625
140,Island Pier Club,"1702 Avenue O, Galveston",POINT (-94.78322290000001 29.29581310000001),29.29581310000001,-94.78322290000001,0.05280272904106859
141,Dizzy Dorado,"3802 Cove View Boulevard, Galveston",POINT (-94.8676095 29.2446661),29.2446661,-94.8676095,0.11199522538758129
142,Roll-N-Bar,"8305 Stewart Road, Galveston",POINT (-94.84814569999999 29.2564331),29.2564331,-94.84814569999999,0.09257542869387367
143,Wasserfest,"2109 Lockheed Road, Galveston",POINT (-94.85257 29.2706189),29.2706189,-94.85257,0.08200159430994709
144,Boardroom bar,"63rd Rear Street, Galveston",POINT (-94.8303846 29.2667624),29.2667624,-94.8303846,0.07686544554596608
145,Pelican and the Shark,"6101 Seawall Boulevard Suite 2, Galveston",POINT (-94.8252111 29.2649278),29.2649278,-94.8252111,0.07749380495215215
146,Pizza Hut,"4908C Seawall Boulevard, Galveston",POINT (-94.81559089999999 29.273596),29.273596,-94.81559089999999,0.06761019634851623
147,Jack in the Box,"5028 Broadway Avenue J, Galveston",POINT (-94.8237678 29.2920741),29.2920741,-94.8237678,0.05070383945017716
148,Domino's Pizza,"2108 Broadway Avenue J, Galveston",POINT (-94.7899961 29.30086929999999),29.30086929999999,-94.7899961,0.04508603993151995
149,Jimmy John's,"102-B Kempner Street, Galveston",POINT (-94.79313069999999 29.3082998),29.3082998,-94.79313069999999,0.03704778291054555
150,Domino's Pizza,"2705 61st Street Ste E, Galveston",POINT (-94.8297626 29.2718422),29.2718422,-94.8297626,0.07180104252350299
151,Jack in the Box,"2300 61st Street, Galveston",POINT (-94.83180779999999 29.27607),29.27607,-94.83180779999999,0.06834672395388693
152,Little Caesars Pizza,"2806 61st Street, Galveston",POINT (-94.8282943 29.2711207),29.2711207,-94.8282943,0.07212046661719856
153,Jack in the Box,"920 Seawall Boulevard, Galveston",POINT (-94.7758676 29.3010669),29.3010669,-94.7758676,0.052880542549884585
154,Easy2GoMeals.com,"4417 Avenue S Suite A, Galveston",POINT (-94.81218969999999 29.2802923),29.2802923,-94.81218969999999,0.0607461947917773
155,Sharky's Tavern,"504 25th Street, Galveston",POINT (-94.79533459999999 29.3037598),29.3037598,-94.79533459999999,0.0402297979562104
156,The Burger Den,"1410 Seawall Boulevard, Galveston",POINT (-94.7805175 29.2965973),29.2965973,-94.7805175,0.053598891122130246
157,It's Just Wings,"500 Seawall Boulevard #100, Galveston",POINT (-94.77216399999999 29.30602),29.30602,-94.77216399999999,0.05191826842690986
158,Circle K,"6902 Seawall Boulevard, Galveston",POINT (-94.8343699 29.2626272),29.2626272,-94.8343699,0.08193748258657978
159,Golden Corral Buffet & Grill,"6200 Seawall Boulevard, Galveston",POINT (-94.8282526 29.2660613),29.2660613,-94.8282526,0.07702420957050589
160,Whataburger,"528 University Boulevard, Galveston",POINT (-94.77360039999999 29.30916890000001),29.30916890000001,-94.77360039999999,0.04875362008435841
161,Whataburger,"6327 Stewart Road, Galveston",POINT (-94.8321098 29.2746342),29.2746342,-94.8321098,0.06980533851770536
162,Waffle House,"2825 1/2 61st Street, Galveston",POINT (-94.8276781 29.2682757),29.2682757,-94.8276781,0.07473704309395031
163,Hunt Brother Pizza,"8910 Seawall Boulevard, Galveston",POINT (-94.8532616 29.2517957),29.2517957,-94.8532616,0.0989312791682999
164,Peking Buffet,"6125 Central City Boulevard, Galveston",POINT (-94.82845050000002 29.2687959),29.2687959,-94.82845050000002,0.07441322064974608
165,STINGS℠,"2028 The Strand, Galveston",POINT (-94.79196859999999 29.3081264),29.3081264,-94.79196859999999,0.037758045297725494
166,Galveston Snack Shack,"1020 Seawall Boulevard, Galveston",POINT (-94.7765677 29.3001141),29.3001141,-94.7765677,0.05315413280729853
167,Brew Station,Galveston,POINT (-94.78957679999999 29.28523709999999),29.28523709999999,-94.78957679999999,0.05957889029088063
168,Galveston Primetime,"8902 Seawall Boulevard, Galveston",POINT (-94.8542107 29.2530127),29.2530127,-94.8542107,0.09825354948272111
169,Moody Gardens 3D Theater,"1 Hope Boulevard, Galveston",POINT (-94.8519352 29.2754026),29.2754026,-94.8519352,0.0775928092058279
170,Spongebob SubPants Adventure,"1 Hope Boulevard, Galveston",POINT (-94.8537346 29.2759333),29.2759333,-94.8537346,0.07812543612745666
171,Pleasure Pier 5D Theater Ride,"2424 Seawall Boulevard, Galveston",POINT (-94.79001129999999 29.28896259999999),29.28896259999999,-94.79001129999999,0.055945620574959234
172,Oppe Elementary School,"2915 81st Street, Galveston",POINT (-94.85022839999999 29.263423),29.263423,-94.85022839999999,0.08716483157265473
173,Satori Elementary School,"2503 Sealy Avenue, Galveston",POINT (-94.7948246 29.30017),29.30017,-94.7948246,0.043755550629878966
174,Burnet Elementary School,"5501 Avenue S, Galveston",POINT (-94.8240831 29.276497),29.276497,-94.8240831,0.06592957847831311
175,Alamo Elementary School,"5200 Avenue North 1/2, Galveston",POINT (-94.8235596 29.2864649),29.2864649,-94.8235596,0.056088419053131736
176,Odyssey Academy Galveston,"2412 61st Street, Galveston",POINT (-94.8293726 29.275633),29.275633,-94.8293726,0.06804745019787638
177,Holy Family Catholic School,"2601 Ursuline Street, Galveston",POINT (-94.793756 29.294033),29.294033,-94.793756,0.04988209929658559
178,Ambassadors Preparatory Academy,"5001 Avenue U, Galveston",POINT (-94.818203 29.274333),29.274333,-94.818203,0.06712409595899697
179,LA Morgan Elementary School,"1410 37th Street, Galveston",POINT (-94.8059162 29.2920332),29.2920332,-94.8059162,0.049197660701019455
180,Trinity Episcopal School,"720 23rd Street Rear, Galveston",POINT (-94.7921866 29.30250509999999),29.30250509999999,-94.7921866,0.042649597661181024
181,Parker Elementary School,"6802 Jones Drive, Galveston",POINT (-94.8390199 29.2734241),29.2734241,-94.8390199,0.07335594243173309
182,Rosenberg Elementary School,"721 10th Street, Galveston",POINT (-94.7785359 29.3060557),29.3060557,-94.7785359,0.047380039443694524
183,Walgreens,"2501 61st Street, Galveston",POINT (-94.8313075 29.274969),29.274969,-94.8313075,0.0692419076501666
184,Walgreens,"308 Seawall Boulevard, Galveston",POINT (-94.770623 29.3078975),29.3078975,-94.770623,0.05184782941504179
185,Harborside Food Mart,"8220 Harborside Drive, Galveston",POINT (-94.8635456 29.2874585),29.2874585,-94.8635456,0.07536941477507522
186,On the Run,"4427 Broadway Avenue J, Galveston",POINT (-94.8167646 29.293301),29.293301,-94.8167646,0.04812191155607074
187,Murphy USA,"6810 Seawall Boulevard, Galveston",POINT (-94.83364 29.26315),29.26315,-94.83364,0.08122666780655177
188,Texaco Galveston,"1928 Broadway Avenue J, Galveston",POINT (-94.7883262 29.301321),29.301321,-94.7883262,0.04547533229760217
189,Texaco,"6101 Broadway Street, Galveston",POINT (-94.8380791 29.2879576),29.2879576,-94.8380791,0.05979039315270918
190,Chevron,"2502 45th Street, Galveston",POINT (-94.8124706 29.2801474),29.2801474,-94.8124706,0.06089941117031807
191,Tiki Food Mart,"200 Tiki Drive, Galveston",POINT (-94.90395649999999 29.302725),29.302725,-94.90395649999999,0.10098218157724681
192,Island Food Mart,"8224 Harborside Drive, Galveston",POINT (-94.863742 29.2868953),29.2868953,-94.863742,0.07590824221156998
193,Dollar General,"14322 Termini-San Luis Pass Road, Galveston",POINT (-94.94879569999999 29.2006851),29.2006851,-94.94879569999999,0.1970128107861002
194,Dollar General,"2415 69th Street b, Galveston",POINT (-94.83905569999999 29.2713435),29.2713435,-94.83905569999999,0.07529094484678624
195,Chevron,"17523 Farm to Market Road 3005, Galveston",POINT (-94.9858486 29.1748447),29.1748447,-94.9858486,0.24156665510590705
196,Seasons Food Mart,"2701 Broadway Avenue J, Galveston",POINT (-94.79679949999999 29.2984014),29.2984014,-94.79679949999999,0.044766945330792396
197,CVS,"2326 61st Street, Galveston",POINT (-94.8307695 29.2762064),29.2762064,-94.8307695,0.06790020894249643
198,7 Days Food Store,"3428 Seawall Boulevard, Galveston",POINT (-94.80056549999999 29.2820312),29.2820312,-94.80056549999999,0.05981753589354662
199,Merco Supermarket,"2203 45th Street, Galveston",POINT (-94.8137692 29.282635),29.282635,-94.8137692,0.05847102163860103
200,Food Mart,"6101 Broadway Street, Galveston",POINT (-94.8380339 29.287939),29.287939,-94.8380339,0.05978608108730884
