Post number,Subject,Body,Attachment,Attachment caption,Location,Latitude,Longitude,Author,Created At,Updated At
13,"Student Services Center, Hilo, HI 96720, USA","","",,"Student Services Center, Hilo, HI 96720, USA",19.69997837558898,-155.0797779344561,Anonymous,2023-12-28 23:25:50 UTC,2023-12-28 23:25:50 UTC
14,"Bishop St, Hilo, HI 96720, USA","","",,"Bishop St, Hilo, HI 96720, USA",19.72102458581705,-155.0765896503414,Anonymous,2023-12-28 23:25:23 UTC,2023-12-28 23:25:23 UTC
15,"655 Kilauea Ave, Hilo, HI 96720, USA","","",,"655 Kilauea Ave, Hilo, HI 96720, USA",19.718092935819982,-155.07983781600942,Anonymous,2023-12-28 23:24:50 UTC,2023-12-28 23:24:50 UTC
16,"The Booch Bar, Keawe Street, Hilo, HI","","",,"The Booch Bar, Keawe Street, Hilo, HI",19.7254665,-155.0878708,Anonymous,2023-12-23 07:22:44 UTC,2023-12-23 07:22:44 UTC
17,"Hilo Farmer's Market, Mamo Street, Hilo, HI","","",,"Hilo Farmer's Market, Mamo Street, Hilo, HI",19.7229776,-155.084795,Anonymous,2023-12-23 07:21:58 UTC,2023-12-23 07:21:58 UTC
18,"Abundant Life Natural Foods, Kamehameha Avenue, Hilo, HI","","",,"Abundant Life Natural Foods, Kamehameha Avenue, Hilo, HI",19.7239209,-155.0854145,Anonymous,2023-12-23 07:21:45 UTC,2023-12-23 07:21:45 UTC
19,"Haleʻōlelo, Nowelo St, Hilo, HI 96720, USA","","",,"Haleʻōlelo, Nowelo St, Hilo, HI 96720, USA",19.69986885354571,-155.0848866850256,Anonymous,2023-12-21 19:24:27 UTC,2023-12-21 19:24:27 UTC
20,"111 Puainako St, Hilo, HI 96720, USA","","",,"111 Puainako St, Hilo, HI 96720, USA",19.697172624696393,-155.06345639795396,Anonymous,2023-12-21 19:23:59 UTC,2023-12-21 19:23:59 UTC
21,"Safeway, 381 Makaala St, Hilo, HI 96720, USA","","",,"Safeway, 381 Makaala St, Hilo, HI 96720, USA",19.700635616442373,-155.06076216931757,Anonymous,2023-12-21 19:22:36 UTC,2023-12-21 19:22:36 UTC
22,"Keaau Transfer Station, Keaau, HI","","",,"Keaau Transfer Station, Keaau, HI",19.6043905,-155.0250451,Anonymous,2023-12-21 18:25:03 UTC,2023-12-21 18:25:03 UTC
23,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-12-21 18:24:18 UTC,2023-12-21 18:24:18 UTC
24,"Foodland Kea`au, Old Volcano Road, Keaau, HI","","",,"Foodland Kea`au, Old Volcano Road, Keaau, HI",19.6218862,-155.0409647,Anonymous,2023-12-21 18:23:57 UTC,2023-12-21 18:23:57 UTC
25,"Sack N Save Hilo, Kinoole Street, Hilo, HI","","",,"Sack N Save Hilo, Kinoole Street, Hilo, HI",19.7228313,-155.0883065,Anonymous,2023-12-21 18:18:49 UTC,2023-12-21 18:18:49 UTC
26,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-23 00:12:49 UTC,2023-11-23 00:12:49 UTC
27,"Safeway, E Maka'Ala St, Hilo, HI","","",,"Safeway, E Maka'Ala St, Hilo, HI",19.7006362,-155.0607611,Anonymous,2023-11-23 00:12:13 UTC,2023-11-23 00:12:13 UTC
28,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI","","",,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI",19.7110284,-155.075915,Anonymous,2023-11-23 00:11:54 UTC,2023-11-23 00:11:54 UTC
29,"Mo'oheau Bus Terminal (329 Kamehameha Ave), Kamehameha Avenue, Hilo, HI","","",,"Mo'oheau Bus Terminal (329 Kamehameha Ave), Kamehameha Avenue, Hilo, HI",19.7240487,-155.0846213,Anonymous,2023-11-22 03:45:39 UTC,2023-11-22 03:45:39 UTC
30,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-21 07:51:07 UTC,2023-11-21 07:51:07 UTC
31,"Keaau Transfer Station, Keaau, HI","","",,"Keaau Transfer Station, Keaau, HI",19.6043905,-155.0250451,Anonymous,2023-11-20 07:40:14 UTC,2023-11-20 07:40:14 UTC
32,"Safeway, E Maka'Ala St, Hilo, HI","","",,"Safeway, E Maka'Ala St, Hilo, HI",19.7006362,-155.0607611,Anonymous,2023-11-20 07:39:40 UTC,2023-11-20 07:39:40 UTC
33,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-20 07:39:14 UTC,2023-11-20 07:39:14 UTC
34,"Liliuokalani Park and Gardens, Lihiwai Street, Hilo, HI","","",,"Liliuokalani Park and Gardens, Lihiwai Street, Hilo, HI",19.726372,-155.068079,Anonymous,2023-11-18 01:28:29 UTC,2023-11-18 01:28:29 UTC
35,"Prince Kuhio Plaza, Puainako Street, Hilo, HI","","",,"Prince Kuhio Plaza, Puainako Street, Hilo, HI",19.6972116,-155.0634522,Anonymous,2023-11-18 01:27:59 UTC,2023-11-18 01:27:59 UTC
36,"391 Makaala Street, Hilo, HI","","",,"391 Makaala Street, Hilo, HI",19.7010308,-155.0599936,Anonymous,2023-11-18 01:27:10 UTC,2023-11-18 01:27:10 UTC
37,"391 Makaala St, Hilo, HI 96720, USA","","",,"391 Makaala St, Hilo, HI 96720, USA",19.700791951770334,-155.05967132492918,Anonymous,2023-11-15 23:07:07 UTC,2023-11-15 23:07:07 UTC
38,"Safeway Hilo, 381 Makaala St, Hilo, HI 96720, USA","","",,"Safeway Hilo, 381 Makaala St, Hilo, HI 96720, USA",19.700983867484894,-155.06072275086302,Anonymous,2023-11-15 23:06:44 UTC,2023-11-15 23:06:45 UTC
39,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI","","",,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI",19.6942432,-155.0668783,Anonymous,2023-11-15 06:40:20 UTC,2023-11-15 06:40:21 UTC
40,"32 Ululani St, Hilo, HI 96720, USA","","",,"32 Ululani St, Hilo, HI 96720, USA",19.72490551621722,-155.09079368407984,Anonymous,2023-11-15 03:37:11 UTC,2023-11-15 03:37:11 UTC
41,"56 E Puainako St, Hilo, HI 96720, USA","","",,"56 E Puainako St, Hilo, HI 96720, USA",19.694641077926033,-155.06679005994957,Anonymous,2023-11-15 03:36:47 UTC,2023-11-15 03:36:47 UTC
42,"Hilo Public Library, Waianuenue Avenue, Hilo, HI","","",,"Hilo Public Library, Waianuenue Avenue, Hilo, HI",19.72470849999999,-155.0907897,Anonymous,2023-11-15 02:42:27 UTC,2023-11-15 02:42:27 UTC
43,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI","","",,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI",19.6942432,-155.0668783,Anonymous,2023-11-15 02:41:57 UTC,2023-11-15 02:41:57 UTC
44,"Hilo Town Market LLC, Waianuenue Avenue, Hilo, HI","","",,"Hilo Town Market LLC, Waianuenue Avenue, Hilo, HI",19.7257995,-155.0875046,Anonymous,2023-11-15 02:41:26 UTC,2023-11-15 02:41:26 UTC
45,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI","","",,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI",19.6942432,-155.0668783,Anonymous,2023-11-15 00:05:50 UTC,2023-11-15 00:05:50 UTC
46,"Foodland Kea`au, Old Volcano Road, Keaau, HI","","",,"Foodland Kea`au, Old Volcano Road, Keaau, HI",19.6218862,-155.0409647,Anonymous,2023-11-15 00:04:52 UTC,2023-11-15 00:04:52 UTC
47,"Orchidland General Store, Orchid Land Drive, Keaau, HI","","",,"Orchidland General Store, Orchid Land Drive, Keaau, HI",19.558819,-154.9931039,Anonymous,2023-11-15 00:04:01 UTC,2023-11-15 00:04:01 UTC
48,"56 E Puainako St, Hilo, HI 96720, USA","","",,"56 E Puainako St, Hilo, HI 96720, USA",19.694448955443793,-155.0668831921956,Anonymous,2023-11-14 19:29:02 UTC,2023-11-14 19:29:02 UTC
49,"Safeway Hilo, 381 Makaala St, Hilo, HI 96720, USA","","",,"Safeway Hilo, 381 Makaala St, Hilo, HI 96720, USA",19.700854140378247,-155.0607870674156,Anonymous,2023-11-14 19:27:56 UTC,2023-11-14 19:27:56 UTC
50,"391 Makaala St, Hilo, HI 96720, USA","","",,"391 Makaala St, Hilo, HI 96720, USA",19.700743565681048,-155.0596731991356,Anonymous,2023-11-14 19:26:55 UTC,2023-11-14 19:26:55 UTC
51,"Keaukaha Beach Park, Apapane Road, Hilo, HI",Somewhere near the beaches since plenty people go and eat there so it would be convenient for them to drop it while at the beach,"",,"Keaukaha Beach Park, Apapane Road, Hilo, HI",19.7318433,-155.0461397,Anonymous,2023-11-14 03:45:47 UTC,2023-11-14 03:45:47 UTC
52,"Hilo Public Library, Waianuenue Avenue, Hilo, HI","","",,"Hilo Public Library, Waianuenue Avenue, Hilo, HI",19.72470849999999,-155.0907897,Anonymous,2023-11-14 03:43:15 UTC,2023-11-14 03:43:15 UTC
53,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-14 03:41:36 UTC,2023-11-14 03:41:36 UTC
54,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-13 18:25:55 UTC,2023-11-13 18:25:55 UTC
55,"University of Hawaii at Hilo, West Kawili Street, Hilo, HI","","",,"University of Hawaii at Hilo, West Kawili Street, Hilo, HI",19.6997798,-155.0848929,Anonymous,2023-11-13 18:25:15 UTC,2023-11-13 18:25:15 UTC
56,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI","","",,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI",19.7110284,-155.075915,Anonymous,2023-11-13 18:24:26 UTC,2023-11-13 18:24:26 UTC
57,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-13 18:24:04 UTC,2023-11-13 18:24:04 UTC
58,"Hilo Farmer's Market, Mamo Street, Hilo, HI","","",,"Hilo Farmer's Market, Mamo Street, Hilo, HI",19.7229776,-155.084795,Anonymous,2023-11-13 13:23:34 UTC,2023-11-13 13:23:34 UTC
59,"UH Hilo Student Services Center, Hilo, HI","","",,"UH Hilo Student Services Center, Hilo, HI",19.7009083,-155.0797295,Anonymous,2023-11-11 19:07:25 UTC,2023-11-11 19:07:25 UTC
60,"KTA Super Stores - Downtown, Keawe Street, Hilo, HI","","",,"KTA Super Stores - Downtown, Keawe Street, Hilo, HI",19.7230579,-155.0859467,Anonymous,2023-11-11 19:06:46 UTC,2023-11-11 19:06:46 UTC
61,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI","","",,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI",19.6942432,-155.0668783,Anonymous,2023-11-11 19:05:38 UTC,2023-11-11 19:05:38 UTC
62,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI, USA","","",,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI, USA",19.7110284,-155.075915,Anonymous,2023-11-11 16:12:02 UTC,2023-11-11 16:12:02 UTC
63,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI","","",,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI",19.6942432,-155.0668783,Anonymous,2023-11-11 08:37:55 UTC,2023-11-11 08:37:55 UTC
64,"Hilo Town Market LLC, Waianuenue Avenue, Hilo, HI","","",,"Hilo Town Market LLC, Waianuenue Avenue, Hilo, HI",19.7257995,-155.0875046,Anonymous,2023-11-11 08:37:23 UTC,2023-11-11 08:37:23 UTC
65,"Safeway, E Maka'Ala St, Hilo, HI","","",,"Safeway, E Maka'Ala St, Hilo, HI",19.7006362,-155.0607611,Anonymous,2023-11-11 08:36:31 UTC,2023-11-11 08:36:31 UTC
66,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-11 02:42:23 UTC,2023-11-11 02:42:23 UTC
67,"Hilo Public Library, Waianuenue Avenue, Hilo, HI","","",,"Hilo Public Library, Waianuenue Avenue, Hilo, HI",19.72470849999999,-155.0907897,Anonymous,2023-11-11 02:42:00 UTC,2023-11-11 02:42:00 UTC
68,"Hilo Medical Center, Waianuenue Avenue, Hilo, HI","","",,"Hilo Medical Center, Waianuenue Avenue, Hilo, HI",19.7182136,-155.11293,Anonymous,2023-11-11 02:41:09 UTC,2023-11-11 02:41:10 UTC
69,"Atlas Recycling Center LLC, Waianuenue Avenue, Hilo, HI","","",,"Atlas Recycling Center LLC, Waianuenue Avenue, Hilo, HI",19.7249874,-155.0891242,Anonymous,2023-11-11 00:07:23 UTC,2023-11-11 00:07:23 UTC
70,"Atlas Recycling Center LLC, Waianuenue Avenue, Hilo, HI","","",,"Atlas Recycling Center LLC, Waianuenue Avenue, Hilo, HI",19.7249874,-155.0891242,Anonymous,2023-11-11 00:07:17 UTC,2023-11-11 00:07:17 UTC
71,"Keaau Rubbish Transfer Station and County Water Filling station, Keaau-Pahoa Road, Keaau, HI","","",,"Keaau Rubbish Transfer Station and County Water Filling station, Keaau-Pahoa Road, Keaau, HI",19.6045231,-155.0247534,Anonymous,2023-11-11 00:06:49 UTC,2023-11-11 00:06:49 UTC
72,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI","","",,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI",19.6942432,-155.0668783,Anonymous,2023-11-11 00:06:13 UTC,2023-11-11 00:06:13 UTC
73,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-11 00:06:00 UTC,2023-11-11 00:06:00 UTC
74,"McDonald's, Kanoelehua Avenue, Hilo, HI","","",,"McDonald's, Kanoelehua Avenue, Hilo, HI",19.6912097,-155.0663614,Anonymous,2023-11-05 15:18:11 UTC,2023-11-05 15:18:11 UTC
75,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI","","",,"KTA Super Stores - Puainako, East Puainako Street, Hilo, HI",19.6942432,-155.0668783,Anonymous,2023-11-05 15:17:55 UTC,2023-11-05 15:17:55 UTC
76,"Target, Makaala Street, Hilo, HI","","",,"Target, Makaala Street, Hilo, HI",19.7006301,-155.0596618,Anonymous,2023-11-05 15:17:40 UTC,2023-11-05 15:17:40 UTC
77,"Imiloa Astronomy Center, Imiloa Place, Hilo, HI","","",,"Imiloa Astronomy Center, Imiloa Place, Hilo, HI",19.7011173,-155.0886773,Anonymous,2023-11-05 15:17:17 UTC,2023-11-05 15:17:17 UTC
78,"Tacos Jalisco LLLP, Kekuanaoa Street, Hilo, HI",Because they only offer nasty plastic,"",,"Tacos Jalisco LLLP, Kekuanaoa Street, Hilo, HI",19.7118364,-155.0743677,Anonymous,2023-11-05 15:11:50 UTC,2023-11-05 15:11:50 UTC
79,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI",Easy access,"",,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI",19.7110284,-155.075915,Anonymous,2023-11-05 15:10:59 UTC,2023-11-05 15:10:59 UTC
80,"Hilo Public Library, Waianuenue Avenue, Hilo, HI",Easy to drop off,"",,"Hilo Public Library, Waianuenue Avenue, Hilo, HI",19.72470849999999,-155.0907897,Anonymous,2023-11-05 15:10:32 UTC,2023-11-05 15:10:32 UTC
81,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI","","",,"Island Naturals Market & Deli - Hilo, Kilauea Avenue, Hilo, HI",19.7110284,-155.075915,Anonymous,2023-11-03 00:08:52 UTC,2023-11-03 00:08:52 UTC
82,"Kula Shave Ice, Mamo Street, Hilo, HI","","",,"Kula Shave Ice, Mamo Street, Hilo, HI",19.7230244,-155.085005,Anonymous,2023-11-03 00:08:27 UTC,2023-11-03 00:08:27 UTC
83,"County of Hawaii Office of the County Clerk Elections Division - Hilo, Aupuni Street, Hilo, HI","","",,"County of Hawaii Office of the County Clerk Elections Division - Hilo, Aupuni Street, Hilo, HI",19.7194975,-155.078148,Anonymous,2023-11-03 00:08:02 UTC,2023-11-03 00:08:03 UTC
84,"Hilo, HI","Hilo, HI
","",,"Hilo, HI",19.7216023,-155.084887,Ashley Ren (ashleyziyuren),2023-08-30 12:24:58 UTC,2023-08-30 12:25:08 UTC
