Original_Index,Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Cumulative_Distance,Truck_Load,Coordinates,duration
51,Monarch Restaurant,1.0,1.0,"2024 Seawall Boulevard, Galveston",29310,49,"[-94.7864, 29.2926]",17240
43,Longboard Pool Bar,1.0,1.0,"1702 Seawall Boulevard, Galveston",29793,50,"[-94.7829, 29.2945]",17663
40,Saltgrass Steak House,1.0,1.0,"1502 Seawall Boulevard, Galveston",30109,51,"[-94.7809, 29.296]",18023
37,Benno's Cajun Seafood Restaurant,1.0,1.0,"1212 Seawall Boulevard, Galveston",30582,52,"[-94.7782, 29.2982]",18563
127,Lone Star Rally-Bar Hq,1.0,1.0,"910 Avenue M, Galveston",31084,53,"[-94.7755, 29.3016]",18999
101,Gonzalo’s American Bistro,1.0,1.0,"415 9th Street, Galveston",32139,54,"[-94.7778, 29.3091]",19620
117,Rice & Curry Indo-Pak Cuisine,1.0,1.0,"712 7th Street, Galveston",32655,55,"[-94.7744, 29.3075]",20057
162,Russo's New York Pizzeria & Italian Kitchen - Galveston,1.0,1.0,"500 Seawall Boulevard #300, Galveston",33181,56,"[-94.7717, 29.307]",20521
4,Porch Cafe,1.0,1.0,"1625 East Beach Drive #2A, Galveston",36111,57,"[-94.7502, 29.3196]",21245
158,Suki Poke by the Sea,1.0,1.0,"427 Market Street, Galveston",39121,58,"[-94.7726, 29.3106]",21933
119,Marina Bar & Grill,1.0,1.0,"715 North Holiday Drive, Galveston",40493,59,"[-94.7774, 29.3175]",22560
107,America's Kitchen,1.0,1.0,"500 Harborside Drive, Galveston",41476,60,"[-94.7756, 29.3141]",23145
118,PJ’s coffee,1.0,1.0,"712 Texas Avenue, Galveston (UTMB)",41907,61,"[-94.7781, 29.3115]",23529
142,The Original Mexican Cafe,1.0,1.0,"1401 Market Street, Galveston",42953,62,"[-94.7836, 29.3079]",24006
28,The Sunflower Bakery & Cafe,1.0,1.0,"512 14th Street, Galveston",43065,63,"[-94.783, 29.307]",24318
29,Mosquito Cafe,1.0,1.0,"628 14th Street, Galveston",43216,64,"[-94.7825, 29.3057]",24632
30,PattyCakes Bakery,1.0,1.0,"704 14th Street, Galveston",43251,65,"[-94.7824, 29.3054]",24944
21,Shykatz,1.0,2.0,"1528 Avenue L, Galveston",44004,67,"[-94.7832, 29.3006]",25400
38,Bambú,1.0,1.0,"1220 23rd Street, Galveston",44907,68,"[-94.791, 29.2977]",25994
20,Galveston Bagel Company,1.0,1.0,"1110 23rd Street, Galveston",45045,69,"[-94.7914, 29.2989]",26350
2,MAC-IES,1.0,1.0,"1110 23rd Street, Galveston",45045,70,"[-94.7914, 29.2989]",26650
32,galveston vfw hall,1.0,1.0,"1014 24th Street Rear, Galveston",45163,71,"[-94.7926, 29.2991]",26990
76,Shrimp 'N Stuff Downtown,1.0,2.0,"2506 Avenue H, Galveston",45855,73,"[-94.7958, 29.3014]",27614
167,Vida Agave,1.0,1.0,"711 25th Street, Galveston",45895,74,"[-94.7955, 29.3018]",28060
72,La Estacion Restaurant,1.0,1.0,"2428 Avenue H, Galveston",45999,75,"[-94.7948, 29.3015]",28494
13,Sugar & Rye,1.0,1.0,"2401 Church Street, Galveston",46276,76,"[-94.7945, 29.3031]",28873
108,Sharky's Tavern,2.0,2.0,"504 25th Street, Galveston",46425,78,"[-94.7953, 29.3038]",29287
71,Trini Mike's Island Time Kitchen (Food Truck),1.0,1.0,"2424 Post Office, Galveston (Sharkeys)",46551,79,"[-94.7955, 29.3042]",29655
66,Press Box,2.0,2.0,"2401 Postoffice Street, Galveston",46610,81,"[-94.7948, 29.304]",29968
163,Lolo Kai Smoothies and Wraps,1.0,2.0,"528 23rd Street, Galveston",46818,83,"[-94.7931, 29.304]",30354
27,Star Drug Store,1.0,2.0,"510 23rd Street, Galveston",46820,85,"[-94.7932, 29.3042]",30659
89,Black Pearl Oyster Bar,1.0,1.0,"327 23rd Street, Galveston",47003,86,"[-94.794, 29.3055]",31050
9,MarMo Cafe & Lounge,1.0,1.0,"2121 Market Street suite 101, Galveston",47232,87,"[-94.7921, 29.3056]",31394
147,MOD Coffeehouse,2.0,3.0,"2126 Postoffice St, Galveston",47360,90,"[-94.7921, 29.305]",31780
58,Hey Mikey's Ice Cream,1.0,1.0,"2120 Postoffice St, Galveston",47381,91,"[-94.7919, 29.3051]",32088
56,Little Daddy’s Gumbo Bar - Galveston,1.0,1.0,"2107 Postoffice Street, Galveston",47411,92,"[-94.7915, 29.3049]",32399
54,Taquilo's Tex-Mex,1.0,2.0,"2101 Postoffice St, Galveston",47420,94,"[-94.7914, 29.3049]",32702
55,Sky Bar,1.0,1.0,"2105 Postoffice St, Galveston",47420,95,"[-94.7914, 29.3049]",33002
8,Vargas Cut and Catch,1.0,1.0,"2102 Postoffice Street, Galveston",47429,96,"[-94.7914, 29.3052]",33306
103,The Wine Next Door,1.0,1.0,"418 21st Street, Galveston",47483,97,"[-94.7912, 29.3055]",33632
100,Shucks Tavern,1.0,1.0,"414 21st Street, Galveston",47511,98,"[-94.7912, 29.3056]",33949
102,Mama Teresa's Flying Pizza,1.0,2.0,"416 21st Street, Galveston",47539,100,"[-94.7912, 29.3055]",34269
7,Rudy & Paco Restaurant and Bar,1.0,1.0,"2028 Postoffice St, Galveston",47593,101,"[-94.7911, 29.3053]",34594
48,Saltwater Grill,1.0,1.0,"2017 Postoffice Street, Galveston",47632,102,"[-94.7906, 29.3051]",34906
99,Trattoria La Vigna,1.0,1.0,"412 20th Street, Galveston",47779,103,"[-94.7902, 29.3062]",35254
155,Huli Huli Hut,1.0,2.0,"312 19th Street, Galveston",47978,105,"[-94.7892, 29.3072]",35618
5,Coastal Grill,1.0,1.0,"1827 The Strand, Galveston",48122,106,"[-94.7895, 29.3082]",35951
34,Cruise Plaza,1.0,1.0,"112 19th Street, Galveston",48215,107,"[-94.7898, 29.309]",36286
47,Katie's Seafood House,1.0,1.0,"2000 Wharf Road, Galveston",48491,108,"[-94.7913, 29.31]",36685
36,Mr. Taco,1.0,1.0,"120 20th Street, Galveston",48682,109,"[-94.7909, 29.3084]",37051
49,Drunken Monkeyz,2.0,2.0,"202 20th Street, Galveston",48739,111,"[-94.7907, 29.308]",37385
50,Hubcap Grill,1.0,1.0,"2021 The Strand #3, Galveston",48880,112,"[-94.7916, 29.3076]",37748
146,Rosario`s flying pizza and pub,1.0,1.0,"2121 The Strand, Galveston",49001,113,"[-94.7928, 29.3073]",38163
145,Brewchachos Tacos & Cantina,1.0,1.0,"2110 The Strand, Galveston",49227,114,"[-94.7926, 29.3079]",38658
53,Willie G's Seafood & Steaks,1.0,1.0,"2100 Harborside Drive, Galveston",49378,115,"[-94.7928, 29.3093]",39062
61,Fisherman's Wharf,1.0,1.0,"2200 Harborside Drive, Galveston",49601,116,"[-94.7936, 29.3089]",39419
140,Stuttgarden Tavern,1.0,1.0,"111 23rd Street, Galveston",49833,117,"[-94.7948, 29.3077]",39876
62,Axecade,1.0,1.0,"2217 Strand St Second Floor 217, 2217 The Strand Suite 217, Galveston",49922,118,"[-94.7942, 29.3071]",40290
151,Yaga's Cafe,1.0,1.0,"2314 The Strand, Galveston",49996,119,"[-94.795, 29.3071]",40621
64,Tsunami Tequila Emporium,1.0,1.0,"2314 The Strand, Galveston",50002,120,"[-94.7951, 29.3072]",40924
67,Shark Shack,1.0,1.0,"2402 The Strand, Galveston",50067,121,"[-94.7957, 29.3069]",41246
152,Brews Brothers,2.0,2.0,"2404 The Strand, Galveston",50085,123,"[-94.7959, 29.3069]",41549
70,Patrick’s Bar,1.0,1.0,"2411 The Strand B, Galveston",50094,124,"[-94.7959, 29.3066]",41850
69,Hearsay On The Strand,1.0,1.0,"2410 The Strand, Galveston",50094,125,"[-94.796, 29.3069]",42160
12,Riondo's Ristorante,1.0,1.0,"2328 The Strand, Galveston",50149,126,"[-94.7955, 29.307]",42497
153,Bubba's on The Strand,2.0,2.0,"2411 The Strand, Galveston",50259,128,"[-94.7959, 29.3065]",42842
65,Playground Patio Bar & Grill,1.0,1.0,"2325 The Strand, Galveston",50330,129,"[-94.7952, 29.3067]",43193
59,Vintage Crown Michelada Bar & Taqueria,1.0,1.0,"215 23rd Street, Galveston",50388,130,"[-94.7945, 29.3065]",43563
148,The Garden Thai Cuisine,1.0,1.0,"216 23rd Street, Galveston",50436,131,"[-94.7941, 29.3066]",43910
11,The Pink Foyer Sweets Boutique,1.0,1.0,"2315 Mechanic Street, Galveston",50526,132,"[-94.7946, 29.306]",44247
10,Toujouse (listed under Tremont House),1.0,1.0,"2300 Ship Mechanic Row Street, Galveston",50534,133,"[-94.7948, 29.3063]",44550
68,Jack's Pub On Post Office,2.0,2.0,"2406 Postoffice St, Galveston",50772,135,"[-94.7951, 29.3044]",44933
26,Eatcetera,1.0,1.0,"408 25th Street, Galveston",50833,136,"[-94.7958, 29.3045]",45261
14,Maceo Spice & Import Company,1.0,1.0,"2706 Market Street, Galveston",51171,137,"[-94.7988, 29.3042]",45634
23,Leeland House Galveston,1.0,1.0,"2711 Market Street, Galveston",51189,138,"[-94.7989, 29.3039]",45952
24,Red Light Coffee Roasters,1.0,1.0,"2728 Market Street, Galveston",51241,139,"[-94.7995, 29.304]",46273
77,Freckleberry Teahouse,1.0,1.0,"2724 Market Street, Galveston",51335,140,"[-94.7994, 29.3042]",46611
82,Taqueria Flores,1.0,2.0,"3202 Broadway Avenue J #4228, Galveston",52513,142,"[-94.8026, 29.2976]",47186
90,La Michoacana Meat Market,1.0,2.0,"3301 Broadway Avenue J, Galveston",52902,144,"[-94.8036, 29.2966]",47630
44,Pennies Tex Mex Take Out,1.0,2.0,"1713 37th Street, Galveston",54230,146,"[-94.806, 29.2891]",48118
97,Shrimp N Stuff,1.0,2.0,"3901 Ave O Galveston, TX 77550",54466,148,"[-94.8084, 29.2887]",48589
16,Galveston College,1.0,1.0,"4015 Avenue Q, Galveston",55139,149,"[-94.8085, 29.2841]",49054
131,Bar 43,1.0,1.0,,55684,150,"[-94.8108, 29.281]",49436
0,Moody Gardens,0.0,0.0,"1 Hope Blvd, Galveston",60624,150,"[-94.8523, 29.2736]",50324
