Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Latitude,Longitude
Schlitterbahn Waterpark Galveston,6.0,8.0,"2109 Gene Lucas Blvd, Galveston",29.2704,-94.8517
Hey Mikey's Ice Cream,1.0,1.0,"2120 Postoffice St, Galveston",29.3051,-94.7919
Vintage Crown Michelada Bar & Taqueria,1.0,1.0,"215 23rd Street, Galveston",29.3065,-94.7945
The West End Marina and Restaurants,1.0,1.0,"21706 Burnet Drive, Galveston",29.145,-95.047
Fisherman's Wharf,1.0,1.0,"2200 Harborside Drive, Galveston",29.3089,-94.7936
Axecade,1.0,1.0,"2217 Strand St Second Floor 217, 2217 The Strand Suite 217, Galveston",29.3071,-94.7942
Britton's Bistro (Murdocks),1.0,2.0,"2226 71st St Galveston, TX 77551",29.3132,-94.8189
Tsunami Tequila Emporium,1.0,1.0,"2314 The Strand, Galveston",29.3072,-94.7951
Playground Patio Bar & Grill,1.0,1.0,"2325 The Strand, Galveston",29.3067,-94.7952
Press Box,2.0,2.0,"2401 Postoffice Street, Galveston",29.304,-94.7948
Shark Shack,1.0,1.0,"2402 The Strand, Galveston",29.3069,-94.7957
Jack's Pub On Post Office,2.0,2.0,"2406 Postoffice St, Galveston",29.3044,-94.7951
Hearsay On The Strand,1.0,1.0,"2410 The Strand, Galveston",29.3069,-94.796
Patrick’s Bar,1.0,1.0,"2411 The Strand B, Galveston",29.3066,-94.7959
Trini Mike's Island Time Kitchen (Food Truck),1.0,1.0,"2424 Post Office, Galveston (Sharkeys)",29.3042,-94.7955
La Estacion Restaurant,1.0,1.0,"2428 Avenue H, Galveston",29.3015,-94.7948
Robert's Lafitte,1.0,1.0,"2501 Avenue Q, Galveston",29.2896,-94.7912
Bubba Gump Shrimp Co.,1.0,1.0,"2501 Seawall Boulevard, Galveston",29.2878,-94.7902
Fish Tales,1.0,1.0,"2502 Seawall Boulevard, Galveston",29.2883,-94.7909
Shrimp 'N Stuff Downtown,1.0,2.0,"2506 Avenue H, Galveston",29.3014,-94.7958
Freckleberry Teahouse,1.0,1.0,"2724 Market Street, Galveston",29.3042,-94.7994
Taco Cabana,1.0,2.0,"2729 61st St. Galveston, TX 77551",29.2708,-94.829
Float Pool & Patio Bar,1.0,1.0,"2828 Seawall Boulevard, Galveston",29.2859,-94.7944
The Poop Deck,1.0,1.0,"2928 Seawall Boulevard, Galveston",29.2852,-94.7956
Island time beach bar,2.0,2.0,"3102 Seawall Boulevard, Galveston",29.2842,-94.7971
Taqueria Flores,1.0,2.0,"3202 Broadway Avenue J #4228, Galveston",29.2976,-94.8026
Under the Bun,1.0,1.0,"3202 Seawall Boulevard, Galveston (SPOT)",29.2837,-94.7982
Squeeze,1.0,1.0,"3204 Seawall Boulevard c, Galveston (spot)",29.2838,-94.798
Tiki Bar,2.0,2.0,"3204 Seawall Boulevard Suite B, Galveston",29.2836,-94.798
SideYard,1.0,1.0,"3204 Seawall Boulevard Suite D, Galveston",29.2837,-94.798
Rum Shack,1.0,1.0,"3204 Seawall Boulevard Suite E, Galveston",29.2836,-94.798
Drip,1.0,1.0,"3204 Seawall Boulevard, Galveston",29.2837,-94.7982
Black Pearl Oyster Bar,1.0,1.0,"327 23rd Street, Galveston",29.3055,-94.794
La Michoacana Meat Market,1.0,2.0,"3301 Broadway Avenue J, Galveston",29.2966,-94.8036
Queen's Bar-B-Que,1.0,2.0,"3428 Avenue S, Galveston",29.2835,-94.8012
Joe's Crab Shack,1.0,1.0,"3502 Seawall Boulevard, Galveston",29.2816,-94.8015
The Gumbo Diner,1.0,1.0,"3602 Seawall Boulevard, Galveston",29.2812,-94.8019
Redfish Pool Bar,1.0,1.0,"3788 Seawall Boulevard, Galveston",29.2799,-94.8038
Nick's Kitchen and Beach Bar,1.0,1.0,"3802 Seawall Boulevard, Galveston",29.2798,-94.804
Cordray Drug Store,1.0,2.0,"3827 Ave L Galveston, TX 77550",29.2933,-94.8096
Shrimp N Stuff,1.0,2.0,"3901 Ave O Galveston, TX 77550",29.2887,-94.8084
Mr Taco & Limon Paradise,1.0,2.0,"4112 Seawall Boulevard, Galveston",29.2778,-94.8073
Trattoria La Vigna,1.0,1.0,"412 20th Street, Galveston",29.3062,-94.7902
Shucks Tavern,1.0,1.0,"414 21st Street, Galveston",29.3056,-94.7912
Gonzalo’s American Bistro,1.0,1.0,"415 9th Street, Galveston",29.3091,-94.7778
Mama Teresa's Flying Pizza,1.0,2.0,"416 21st Street, Galveston",29.3055,-94.7912
The Wine Next Door,1.0,1.0,"418 21st Street, Galveston",29.3055,-94.7912
Seawall Bar,1.0,2.0,"4302 Seawall Boulevard, Galveston (Tru Hotel)",29.2769,-94.8087
KritiKos Olympia Grill,1.0,1.0,"4908 Seawall Boulevard suite B, Galveston",29.2734,-94.8157
Bronco Burritos,1.0,1.0,"4917 Broadway St Galveston, TX 77551",29.2918,-94.8224
America's Kitchen,1.0,1.0,"500 Harborside Drive, Galveston",29.3141,-94.7756
Sharky's Tavern,2.0,2.0,"504 25th Street, Galveston",29.3038,-94.7953
H2O Pool + Bar,8.0,11.0,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551",29.2724,-94.8174
The Cove,1.0,1.0,"5222 Seawall Boulevard, Galveston",29.2725,-94.8183
Landry's Prime Seafood & Steaks,1.0,1.0,"5310 Seawall Blvd Galveston, TX 77551",29.2707,-94.8202
Hooters,1.0,1.0,"6028 Heards Ln Galveston, TX 77551",29.2797,-94.8324
Golden Corral Buffet & Grill,1.0,1.0,"6200 Seawall Boulevard, Galveston",29.2661,-94.8283
Tremont House Hotel,1.0,1.0,"2300 Mechanic st Galveston, TX 77550",29.2722,-94.8408
Cafe in the Park,3.0,3.0,"7 Hope Blvd Galveston, TX 77554",29.2731,-94.8509
Shearn's Seafood and Prime Steaks,1.0,1.0,"7 Hope Blvd Galveston, TX 77554",29.2708,-94.8505
Rice & Curry Indo-Pak Cuisine,1.0,1.0,"712 7th Street, Galveston",29.3075,-94.7744
PJ’s coffee,1.0,1.0,"712 Texas Avenue, Galveston (UTMB)",29.3115,-94.7781
Marina Bar & Grill,1.0,1.0,"715 North Holiday Drive, Galveston",29.3175,-94.7774
Dolphin World Inc No 2,1.0,1.0,"718 41st Str Galveston, TX 77550",29.2517,-94.8532
Number 13 Prime Steak and Seafood,1.0,1.0,"7809 Broadway Street, Galveston",29.2851,-94.8575
Galveston Primetime,2.0,2.0,"8902 Seawall Boulevard, Galveston Movie theatre)",29.253,-94.8542
Palm Beach At Moody Gardens,6.0,8.0,"8928, 1 Hope Boulevard, Galveston",29.2757,-94.851
SEA BEAN Coffee Cafe,1.0,2.0,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",29.2506,-94.8532
Jimmy's Curbside Restaurant and Grocery,1.0,2.0,"9001 Seawall Boulevard, Galveston",29.2507,-94.8532
Tin Cup's Caddy Shack,1.0,1.0,"9020 Stewart Road, Galveston",29.2539,-94.8556
Lone Star Rally-Bar Hq,1.0,1.0,"910 Avenue M, Galveston",29.3016,-94.7755
Jetty,1.0,1.0,HI seawall,29.2728,-94.8166
Galveston Food Truck Park,1.0,1.0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",29.1415,-95.0405
Blake's Bistro (under San Luis),1.0,1.0,San Luis Hotel,29.2725,-94.8183
Bar 43,1.0,1.0,,29.281,-94.8108
B. Jiggers Lounge,1.0,1.0,,29.2725,-94.8167
Hummel's General Store & Deli,1.0,2.0,,29.2082,-94.9375
Grotto (under San Luis),1.0,1.0,,29.2726,-94.8184
Rainforest Cafe,1.0,1.0,,29.2708,-94.8202
Tortuga Mexican Kitchen,1.0,1.0,,29.2675,-94.8256
Rainforest Pyramid,1.0,2.0,"1 Hope Blvd Galveston, TX 77554",29.2755,-94.8526
Aquarium Pyramid,1.0,2.0,"1 Hope Blvd Galveston, TX 77554",29.2724,-94.8542
Moody Gardens Restaurant (shown under other restaurant),1.0,1.0,"1 Hope Boulevard, Galveston",29.2757,-94.852
Stuttgarden Tavern,1.0,1.0,"111 23rd Street, Galveston",29.3077,-94.7948
Mario's Pizza,1.0,1.0,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",29.2083,-94.9374
The Original Mexican Cafe,1.0,1.0,"1401 Market Street, Galveston",29.3079,-94.7836
Waterman's Restaurant,1.0,1.0,"14302 Stewart Rd Galveston, TX 77554",29.2074,-94.9492
Yamato,1.0,1.0,"2104 61st Street, Galveston",29.2781,-94.8316
Brewchachos Tacos & Cantina,1.0,1.0,"2110 The Strand, Galveston",29.3079,-94.7926
Rosario`s flying pizza and pub,1.0,1.0,"2121 The Strand, Galveston",29.3073,-94.7928
MOD Coffeehouse,2.0,3.0,"2126 Postoffice St, Galveston",29.305,-94.7921
The Garden Thai Cuisine,1.0,1.0,"216 23rd Street, Galveston",29.3066,-94.7941
The Sandbar Grille,1.0,1.0,"21706 Burnet Drive, Galveston",29.145,-95.0471
Mario's Ristorante,1.0,1.0,"2202 61st St Galveston, TX 77551",29.2771,-94.8315
Yaga's Cafe,1.0,1.0,"2314 The Strand, Galveston",29.3071,-94.795
Brews Brothers,2.0,2.0,"2404 The Strand, Galveston",29.3069,-94.7959
Bubba's on The Strand,2.0,2.0,"2411 The Strand, Galveston",29.3065,-94.7959
Beerfoot Beach Bar,1.0,1.0,"2816 Avenue R 1/2, Galveston",29.2863,-94.7942
Huli Huli Hut,1.0,2.0,"312 19th Street, Galveston",29.3072,-94.7892
The Spot,1.0,1.0,"3204 Seawall Boulevard, Galveston",29.2836,-94.798
Seahorse Grill,1.0,1.0,"3802 Cove View Blvd Ste C Galveston, TX 77554",29.2445,-94.868
Suki Poke by the Sea,1.0,1.0,"427 Market Street, Galveston",29.3106,-94.7726
Papa's Pizza,4.0,5.0,"4400 Seawall Blvd Galveston, TX 77550",29.2765,-94.8095
Koop's BBQ Kitchen,1.0,2.0,"4501 Broadway Avenue J, Galveston",29.2932,-94.8173
Salsas,1.0,1.0,"4604 Seawall Boulevard, Galveston",29.2755,-94.8118
Russo's New York Pizzeria & Italian Kitchen - Galveston,1.0,1.0,"500 Seawall Boulevard #300, Galveston",29.307,-94.7717
Lolo Kai Smoothies and Wraps,1.0,2.0,"528 23rd Street, Galveston",29.304,-94.7931
Gypsy Joynt,1.0,2.0,"6105 Stewart Rd Galveston, TX 77551",29.2742,-94.8316
Café Canela,1.0,1.0,"6105 Stewart Road Suite C, Galveston",29.2744,-94.8308
Gino's Italian Restaurant and Pizzeria,1.0,1.0,"6124 Stewart Road, Galveston",29.2753,-94.8322
Vida Agave,1.0,1.0,"711 25th Street, Galveston",29.3018,-94.7955
Seawall Coffee Company,1.0,2.0,,29.2446,-94.8678
Outdoor Point,0,1,Outdoor Point,29.3324,-94.7386
Outdoor Point,0,1,Outdoor Point,29.3262,-94.7437
Outdoor Point,0,1,Outdoor Point,29.3291,-94.7398
Outdoor Point,0,1,Outdoor Point,29.3316,-94.7341
Outdoor Point,0,1,Outdoor Point,29.3127,-94.7607
Outdoor Point,0,1,Outdoor Point,29.3151,-94.757
Outdoor Point,0,1,Outdoor Point,29.3076,-94.7726
Outdoor Point,0,1,Outdoor Point,29.305,-94.7723
Outdoor Point,0,1,Outdoor Point,29.3258,-94.7718
Outdoor Point,0,1,Outdoor Point,29.3176,-94.7774
Outdoor Point,0,1,Outdoor Point,29.3194,-94.7749
Outdoor Point,0,1,Outdoor Point,29.3112,-94.7787
Outdoor Point,0,1,Outdoor Point,29.3115,-94.778
Outdoor Point,0,1,Outdoor Point,29.3101,-94.7792
Outdoor Point,0,1,Outdoor Point,29.3089,-94.7801
Outdoor Point,0,1,Outdoor Point,29.3084,-94.7898
Outdoor Point,0,1,Outdoor Point,29.308,-94.7909
Outdoor Point,0,1,Outdoor Point,29.3077,-94.7921
Outdoor Point,0,1,Outdoor Point,29.3074,-94.7931
Outdoor Point,0,1,Outdoor Point,29.3072,-94.7943
Outdoor Point,0,1,Outdoor Point,29.3066,-94.7966
Outdoor Point,0,1,Outdoor Point,29.3069,-94.7917
Outdoor Point,0,1,Outdoor Point,29.3066,-94.7929
Outdoor Point,0,1,Outdoor Point,29.3063,-94.7941
Outdoor Point,0,1,Outdoor Point,29.306,-94.7952
Outdoor Point,0,1,Outdoor Point,29.3055,-94.7941
Outdoor Point,0,1,Outdoor Point,29.305,-94.7935
Outdoor Point,0,1,Outdoor Point,29.3049,-94.7914
Outdoor Point,0,1,Outdoor Point,29.3055,-94.7901
Outdoor Point,0,1,Outdoor Point,29.3049,-94.7922
Outdoor Point,0,1,Outdoor Point,29.304,-94.7952
Outdoor Point,0,1,Outdoor Point,29.2976,-94.7909
Outdoor Point,0,1,Outdoor Point,29.3016,-94.7957
Outdoor Point,0,1,Outdoor Point,29.3016,-94.7755
Outdoor Point,0,1,Outdoor Point,29.3074,-94.7744
Outdoor Point,0,1,Outdoor Point,29.2981,-94.7781
Outdoor Point,0,1,Outdoor Point,29.296,-94.7809
Outdoor Point,0,1,Outdoor Point,29.2943,-94.7828
Outdoor Point,0,1,Outdoor Point,29.2927,-94.7862
Outdoor Point,0,1,Outdoor Point,29.2921,-94.7867
Outdoor Point,0,1,Outdoor Point,29.2898,-94.7889
Outdoor Point,0,1,Outdoor Point,29.2871,-94.7901
Outdoor Point,0,1,Outdoor Point,29.2882,-94.7909
Outdoor Point,0,1,Outdoor Point,29.2873,-94.7923
Outdoor Point,0,1,Outdoor Point,29.2859,-94.7945
Outdoor Point,0,1,Outdoor Point,29.2899,-94.8383
Outdoor Point,0,1,Outdoor Point,29.2892,-94.8395
Outdoor Point,0,1,Outdoor Point,29.2933,-94.7957
Outdoor Point,0,1,Outdoor Point,29.2942,-94.7876
Outdoor Point,0,1,Outdoor Point,29.2886,-94.7903
Outdoor Point,0,1,Outdoor Point,29.2836,-94.7979
Outdoor Point,0,1,Outdoor Point,29.2822,-94.8001
Outdoor Point,0,1,Outdoor Point,29.2811,-94.8017
Outdoor Point,0,1,Outdoor Point,29.2797,-94.8039
Outdoor Point,0,1,Outdoor Point,29.2801,-94.8031
Outdoor Point,0,1,Outdoor Point,29.2882,-94.8111
Outdoor Point,0,1,Outdoor Point,29.2753,-94.8118
Outdoor Point,0,1,Outdoor Point,29.2707,-94.8202
Outdoor Point,0,1,Outdoor Point,29.2725,-94.8184
Outdoor Point,0,1,Outdoor Point,29.2725,-94.8165
Outdoor Point,0,1,Outdoor Point,29.2734,-94.8157
Outdoor Point,0,1,Outdoor Point,29.2745,-94.8191
Outdoor Point,0,1,Outdoor Point,29.2808,-94.8106
Outdoor Point,0,1,Outdoor Point,29.2834,-94.816
Outdoor Point,0,1,Outdoor Point,29.2767,-94.809
Outdoor Point,0,1,Outdoor Point,29.2777,-94.807
Outdoor Point,0,1,Outdoor Point,29.2689,-94.8235
Outdoor Point,0,1,Outdoor Point,29.2671,-94.8258
Outdoor Point,0,1,Outdoor Point,29.2678,-94.8268
Outdoor Point,0,1,Outdoor Point,29.2716,-94.8296
Outdoor Point,0,1,Outdoor Point,29.2708,-94.829
Outdoor Point,0,1,Outdoor Point,29.2699,-94.8284
Outdoor Point,0,1,Outdoor Point,29.2704,-94.8281
Outdoor Point,0,1,Outdoor Point,29.274,-94.8315
Outdoor Point,0,1,Outdoor Point,29.275,-94.8315
Outdoor Point,0,1,Outdoor Point,29.276,-94.8311
Outdoor Point,0,1,Outdoor Point,29.2796,-94.8325
Outdoor Point,0,1,Outdoor Point,29.2912,-94.8395
Outdoor Point,0,1,Outdoor Point,29.2878,-94.8374
Outdoor Point,0,1,Outdoor Point,29.2904,-94.8411
Outdoor Point,0,1,Outdoor Point,29.2791,-94.833
Outdoor Point,0,1,Outdoor Point,29.2851,-94.8575
Outdoor Point,0,1,Outdoor Point,29.2633,-94.8323
Outdoor Point,0,1,Outdoor Point,29.2644,-94.8298
Outdoor Point,0,1,Outdoor Point,29.2657,-94.8274
Outdoor Point,0,1,Outdoor Point,29.2651,-94.827
Outdoor Point,0,1,Outdoor Point,29.2648,-94.8324
Outdoor Point,0,1,Outdoor Point,29.2626,-94.8341
Outdoor Point,0,1,Outdoor Point,29.2728,-94.8509
Outdoor Point,0,1,Outdoor Point,29.2736,-94.849
Outdoor Point,0,1,Outdoor Point,29.2753,-94.8517
Outdoor Point,0,1,Outdoor Point,29.2742,-94.8528
Outdoor Point,0,1,Outdoor Point,29.2652,-94.8691
Outdoor Point,0,1,Outdoor Point,29.2475,-94.8601
Outdoor Point,0,1,Outdoor Point,29.2514,-94.8532
Outdoor Point,0,1,Outdoor Point,29.2557,-94.8453
Outdoor Point,0,1,Outdoor Point,29.2534,-94.8495
Outdoor Point,0,1,Outdoor Point,29.2557,-94.8501
Outdoor Point,0,1,Outdoor Point,29.2444,-94.8679
Outdoor Point,0,1,Outdoor Point,29.243,-94.8678
Outdoor Point,0,1,Outdoor Point,29.2406,-94.878
Outdoor Point,0,1,Outdoor Point,29.239,-94.8779
Outdoor Point,0,1,Outdoor Point,29.2097,-94.9484
Outdoor Point,0,1,Outdoor Point,29.2073,-94.9492
Outdoor Point,0,1,Outdoor Point,29.2081,-94.9376
Outdoor Point,0,1,Outdoor Point,29.1424,-95.0478
Outdoor Point,0,1,Outdoor Point,29.1293,-95.0701
Outdoor Point,0,1,Outdoor Point,29.105,-95.0959
Outdoor Point,0,1,Outdoor Point,29.181,-94.9761
Outdoor Point,0,1,Outdoor Point,29.3349,-94.7791
Outdoor Point,0,1,Outdoor Point,29.3121,-94.7749
Outdoor Point,0,1,Outdoor Point,29.3115,-94.7672
Outdoor Point,0,1,Outdoor Point,29.3101,-94.7683
Outdoor Point,0,1,Outdoor Point,29.3086,-94.7955
Outdoor Point,0,1,Outdoor Point,29.3101,-94.792
Outdoor Point,0,1,Outdoor Point,29.3123,-94.7821
Outdoor Point,0,1,Outdoor Point,29.2747,-94.8211
Outdoor Point,0,1,Outdoor Point,29.3024,-94.7922
Outdoor Point,0,1,Outdoor Point,29.3033,-94.7812
Outdoor Point,0,1,Outdoor Point,29.304,-94.7889
Outdoor Point,0,1,Outdoor Point,29.3041,-94.7904
Outdoor Point,0,1,Outdoor Point,29.2992,-94.7936
Outdoor Point,0,1,Outdoor Point,29.2984,-94.7934
Outdoor Point,0,1,Outdoor Point,29.2912,-94.8246
Outdoor Point,0,1,Outdoor Point,29.2084,-94.9374
Outdoor Point,0,1,Outdoor Point,29.2864,-94.8607
Outdoor Point,0,1,Outdoor Point,29.271,-94.8509
Outdoor Point,0,1,Outdoor Point,29.2696,-94.8519
