,Name,Address,Coordinates
28,Shearn's Seafood and Prime Steaks,"7 Hope Blvd Galveston, TX 77554","{'latitude': 29.270826769182, 'longitude': -94.8504638671875}"
29,Los Patrones,"4901 Broadway Ave Ste J Galveston, TX 77551","{'latitude': 29.29188137221802, 'longitude': -94.82201358220902}"
30,The Steakhouse,"5222 Seawall Blvd Galveston, TX 77551","{'latitude': 29.272365, 'longitude': -94.818467}"
31,Lil' Buffalo Grille,"13 Evia Main Galveston, TX 77554","{'latitude': 29.261107475744403, 'longitude': -94.87064057468163}"
32,Mi Abuelitas,"1728 45th St Galveston, TX 77550","{'latitude': 29.2866268157959, 'longitude': -94.8146667480469}"
33,Mario's Ristorante,"2202 61st St Galveston, TX 77551","{'latitude': 29.27708, 'longitude': -94.8315}"
34,Waterman's Restaurant,"14302 Stewart Rd Galveston, TX 77554","{'latitude': 29.2073822021484, 'longitude': -94.9492416381836}"
35,Galveston Island State Park,"14901 Fm 3005 Galveston, TX 77554","{'latitude': 29.1940825995389, 'longitude': -94.9545979499817}"
36,Tortuga Mexican Kitchen,"6010 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2674884796143, 'longitude': -94.8255920410156}"
37,Cooper’s Landing,"11150 FM-3005 Galveston, TX 77554","{'latitude': 29.24071, 'longitude': -94.87794}"
38,Koop's BBQ Kitchen & Catering,"4501 Broadway Ave J Galveston, TX 77551","{'latitude': 29.293170891534057, 'longitude': -94.81733590364456}"
39,Gino's Italian Restaurant,"6124 Stewart Rd Galveston, TX 77551","{'latitude': 29.2730365885301, 'longitude': -94.8306729052795}"
40,Mercadito Y Taqueria,"3802 Broadway Ave J Galveston, TX 77550","{'latitude': 29.29602, 'longitude': -94.80967}"
41,Texas Pit Stop BBQ - Galveston,"6612 Seawall Blvd Galveston, TX 77551","{'latitude': 29.263709, 'longitude': -94.8317621}"
42,Kritikos Grill,"4908 Seawall Blvd Galveston, TX 77551","{'latitude': 29.273495016114182, 'longitude': -94.81565133191256}"
43,Rainforest Cafe,"5310 Seawall Blvd Galveston, TX 77551","{'latitude': 29.27075306734197, 'longitude': -94.820207208395}"
44,IHOP,"5224 Seawall Blvd Galveston, TX 77551","{'latitude': 29.27119, 'longitude': -94.81943}"
45,Los Primos Cafe,"6701 Stewart Rd Ste 1 Galveston, TX 77551","{'latitude': 29.2727249, 'longitude': -94.837071}"
46,Orange Leaf Frozen Yogurt,"6606 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2637435, 'longitude': -94.8316986}"
47,Pariah Coffee,"16708 Termini San Luis Pass Rd, Ste F Jamaica Beach, TX 77554","{'latitude': 29.181794, 'longitude': -94.975648}"
48,Blake's Bistro,"5222 Seawall Blvd Galveston, TX 77551","{'latitude': 29.27254011753384, 'longitude': -94.81829196302441}"
49,Nopalera Grill,"5001 Broadway St Galveston, TX 77551","{'latitude': 29.29155, 'longitude': -94.82299}"
50,Tipsy Turtle Seaside Bar & Grill,"11745 Termini-San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.227571, 'longitude': -94.896047}"
51,Diamond Beach Vacation Rentals,"10327 Termini San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.24307, 'longitude': -94.86803}"
52,Waffle House - Galveston,"2825 1/2 61st St Galveston, TX 77551","{'latitude': 29.268310483487618, 'longitude': -94.82769747774324}"
53,Cordray Drug Store,"3827 Ave L Galveston, TX 77550","{'latitude': 29.293314, 'longitude': -94.8095633}"
54,Hummel's General Store & Deli,"13722 Termini San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.20822, 'longitude': -94.9374899}"
55,Golden Corral - Galveston,"6200 Seawall Blvd Galveston, TX 77551","{'latitude': 29.266223, 'longitude': -94.828269}"
56,Mel's Blueplate Express,"7428 Stewart Rd Galveston, TX 77551","{'latitude': 29.260756, 'longitude': -94.840035}"
57,Los Lazos,"6316 Stewart Rd Galveston, TX 77551","{'latitude': 29.27466, 'longitude': -94.8339}"
58,Way West Grill & Pizzeria,"16708 Termini-San Luis Pass Rd Jamaica Beach, TX 77554","{'latitude': 29.1814914636468, 'longitude': -94.9759138061438}"
59,Galveston Pocket Park 2,"11745 FM 3005 Galveston, TX 77554","{'latitude': 29.22704, 'longitude': -94.89644}"
60,Sunny Beach,"11215 Bernice Dr Galveston, TX 77554","{'latitude': 29.2338480477905, 'longitude': -94.8823580235709}"
61,Honduras Food,"3726 Broadway St Galveston, TX 77550","{'latitude': 29.2958377, 'longitude': -94.8090758}"
62,Woody's Bar,"11149 Termini-San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.238427, 'longitude': -94.876953}"
63,Shrimp & Stuff Food Truck,"Jamaica Beach, TX 77554","{'latitude': 29.18254, 'longitude': -94.97353}"
64,Aquarium Pyramid,"1 Hope Blvd Galveston, TX 77554","{'latitude': 29.2723614780696, 'longitude': -94.8542004275391}"
65,Ben & Jerry’s,"4408 Seawall Blvd Galveston, TX 77550","{'latitude': 29.2763179917141, 'longitude': -94.809796}"
66,Moody Gardens Golf Course,"1700 Sydnor Ln Galveston, TX 77554","{'latitude': 29.265189216157488, 'longitude': -94.86893274343505}"
67,Rainforest Pyramid,"1 Hope Blvd Galveston, TX 77554","{'latitude': 29.2754847110984, 'longitude': -94.8526015753142}"
68,Tin Cup's Caddyshack,"9020 Stewart Rd Galveston, TX 77554","{'latitude': 29.25345, 'longitude': -94.85661}"
69,Happy Buddha,"2827 61st St Galveston, TX 77551","{'latitude': 29.26796, 'longitude': -94.82765}"
70,El Nopalito's,"614 42nd St Galveston, TX 77550","{'latitude': 29.297445, 'longitude': -94.814607}"
71,China Sea,"4402 Broadway St Galveston, TX 77550","{'latitude': 29.294062, 'longitude': -94.816411}"
72,Joe's Seafood,"3702 Broadway St Galveston, TX 77550","{'latitude': 29.2961483001709, 'longitude': -94.8084411621094}"
73,Galveston Island Cigar Lounge,"1813 61st St Ste 104 Galveston, TX 77551","{'latitude': 29.280505, 'longitude': -94.833994}"
74,Taqueria El Jardin Tropical,"3801 Broadway St Galveston, TX 77550","{'latitude': 29.295215794451384, 'longitude': -94.80934127358438}"
75,Cafe in the Park,"7 Hope Blvd Galveston, TX 77554","{'latitude': 29.2730724079183, 'longitude': -94.8508969682617}"
76,Whataburger,"6327 Stewart Rd Galveston, TX 77551","{'latitude': 29.27463420774535, 'longitude': -94.83211220666848}"
77,H2O Pool + Bar,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551","{'latitude': 29.2723853, 'longitude': -94.81741699999999}"
78,The Hurricane Cowboy Shaved Ice Company,"9030 Seawall Blvd Galveston, TX 77554","{'latitude': 29.25105, 'longitude': -94.85451}"
79,El Rey Mexican Restaurant,"1519 39th St Galveston, TX 77550","{'latitude': 29.290184, 'longitude': -94.808862}"
80,El Gusto Del Pueblo,"3714 Broadway St Galveston, TX 77550","{'latitude': 29.29607, 'longitude': -94.80873}"
81,Beach Access Point 11,"12603 West Buena Vista Dr Galveston, TX 77554","{'latitude': 29.2188773679888, 'longitude': -94.9097950157301}"
82,Daiquiris To Go On Broadway,"4028 Broadway Ave J Galveston, TX 77550","{'latitude': 29.2946497, 'longitude': -94.8118193}"
83,Texas Star Bakery,"5425 Broadway St Galveston, TX 77551","{'latitude': 29.2901668548584, 'longitude': -94.8282775878906}"
84,Hooters,"6028 Heards Ln Galveston, TX 77551","{'latitude': 29.2797, 'longitude': -94.83244}"
85,SEA BEAN Coffee Cafe,"9001 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2506218, 'longitude': -94.8532271}"
86,Galveston Go Karts and Fun Center,"9402 Seawall Blvd Galveston, TX 77554","{'latitude': 29.2511, 'longitude': -94.8598}"
87,Starbucks,"2808 61st St Galveston, TX 77551","{'latitude': 29.2708403, 'longitude': -94.82791271}"
88,Terramar Beach,"Galveston, TX 77554","{'latitude': 29.2202445, 'longitude': -94.9643114}"
89,Lupita,"2314 45th St Galveston, TX 77550","{'latitude': 29.28166052681139, 'longitude': -94.81301492883554}"
90,Galvostonite Bistro,"16708 Termini San Luis Pass Rd Ste E Jamaica Beach, TX 77554","{'latitude': 29.181971349288872, 'longitude': -94.97549695530286}"
91,Pirates Beach,"Pirates Aly Galveston, TX 77554","{'latitude': 29.2035640434977, 'longitude': -94.9348632618785}"
92,Venados Cantina,"16510 Termini San Luis Pass Rd Ste C Jamaica Beach, TX 77554","{'latitude': 29.184303500001374, 'longitude': -94.97112267055259}"
93,Taco Cabana,"2729 61st St. Galveston, TX 77551","{'latitude': 29.27079, 'longitude': -94.82903}"
94,Jimmy John's,"6302 Seawall Blvd Ste A Galveston, TX 77551","{'latitude': 29.2656203, 'longitude': -94.8286125}"
95,Old City Cemetery,"Broadway Between 40th and 43rd St Galveston, TX 77550","{'latitude': 29.2940186361201, 'longitude': -94.8130095005035}"
96,Allens Kitchen And Grill,"3701 Winnie St Galveston, TX 77550","{'latitude': 29.2983699869308, 'longitude': -94.8091400787234}"
97,Wingstop,"6202 Broadway St Ste B Galveston, TX 77551","{'latitude': 29.2893436769425, 'longitude': -94.83961509914427}"
98,Kettle House,"1410 Miramar Dr Galveston, TX 77554","{'latitude': 29.2035002, 'longitude': -94.946323}"
99,Babes Beach,"6477 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2645060135914, 'longitude': -94.8299088756065}"
100,Papa Johns Pizza,"6600 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2639199349962, 'longitude': -94.8317631143408}"
101,Arney’s Bayside Grill,"17200 Termini-San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.178744, 'longitude': -94.982415}"
102,Jetty,"5002 Seawall Blvd Galveston, TX 77551","{'latitude': 29.27279, 'longitude': -94.81661}"
103,Domino's Pizza,"2705 61st St Ste E Galveston, TX 77551","{'latitude': 29.27189, 'longitude': -94.829769}"
104,Subway,"4908 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2736229771926, 'longitude': -94.8154952089475}"
105,KFC,"2227 61st St Galveston, TX 77551","{'latitude': 29.2765291614314, 'longitude': -94.8320118132245}"
106,Village of Tiki Island,"Galveston, TX 77554","{'latitude': 29.25296, 'longitude': -94.86929}"
107,Jack in the Box,"2300 61st St Galveston, TX 77551","{'latitude': 29.2760699922856, 'longitude': -94.8318077623844}"
108,Marble Slab Creamery,"2705 61st St Ste D Galveston, TX 77551","{'latitude': 29.271826, 'longitude': -94.829839}"
109,Sonic Drive-In,"6502 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2643767, 'longitude': -94.8309176}"
110,Popeyes Louisiana Kitchen,"2904 61st St Galveston, TX 77551","{'latitude': 29.26788, 'longitude': -94.82646}"
111,Bubba's at Tiki,"110 Gulf Fwy Tiki Island, TX 77554","{'latitude': 29.30352, 'longitude': -94.90013}"
112,Subway,"16510 San Luis Pass Rd Ste B Galveston, TX 77554","{'latitude': 29.1844301337215, 'longitude': -94.9712316265384}"
113,Peking Buffet,"6125 Central City Blvd Galveston, TX 77551","{'latitude': 29.26892, 'longitude': -94.82852}"
114,El Jefe Mexican Food,"3801 Broadway Ave J Unit -B Galveston, TX 77550","{'latitude': 29.2951775, 'longitude': -94.8093608}"
115,Navarro Bakery,"3801 Broadway St Galveston, TX 77550","{'latitude': 29.29511, 'longitude': -94.8093899}"
116,Buck's West,"16708 Termini San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.181966, 'longitude': -94.975483}"
117,Midtown Tavern,"5806 Stewart Rd Galveston, TX 77551","{'latitude': 29.2769122665077, 'longitude': -94.8284272716748}"
118,Tiki Island Village of,"802 Tiki Dr Galveston, TX 77554","{'latitude': 29.29959, 'longitude': -94.9081}"
119,Taco Bell,"5701 Broadway Galveston, TX 77551","{'latitude': 29.28956, 'longitude': -94.831}"
120,Pizza Hut,"4908C Seawall Blvd Galveston, TX 77551","{'latitude': 29.27359603516185, 'longitude': -94.8155883}"
121,Schlotzsky's,"2705 61st St Ste H Galveston, TX 77551","{'latitude': 29.271950458451116, 'longitude': -94.82970544309313}"
122,B. Jiggers Lounge,"5002 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2725013, 'longitude': -94.8166683}"
123,Silver Spot Saloon,"5202 Ave S Galveston, TX 77551","{'latitude': 29.2782648248119, 'longitude': -94.8209213465452}"
124,Crockett Park,"2601 53rd S Galveston, TX 77551","{'latitude': 29.2772116260936, 'longitude': -94.8216842306912}"
125,McDonald's,"5223 Broadway Ave Galveston, TX 77551","{'latitude': 29.2909067856539, 'longitude': -94.8258116841316}"
126,The Garden Restuarant,"7 Hope Blvd Galveston, TX 77554","{'latitude': 29.2760448292325, 'longitude': -94.852215542788}"
127,Jack in the Box,"5028 Broadway Galveston, TX 77551","{'latitude': 29.2920772, 'longitude': -94.8237678408623}"
128,Discovery Pyramid,"1 Hope Blvd Moody Gardens Galveston, TX 77554","{'latitude': 29.275712709346, 'longitude': -94.8536431856413}"
129,Starbucks,"5730 Seawall Blvd Kroger Galveston, TX 77551","{'latitude': 29.269011, 'longitude': -94.824136}"
130,McDonald's,"2912 61st St Galveston, TX 77551","{'latitude': 29.2674799501405, 'longitude': -94.8264102}"
131,The City Jamaica Beach,"5264 Jamaica Beach Jamaica Beach, TX 77554","{'latitude': 29.1788379102945, 'longitude': -94.9773135781288}"
132,Cousins Maine Lobster Truck- Houston,"Houston, TX 77598","{'latitude': 29.54007, 'longitude': -95.12455}"
133,Sonic Drive-In,"5127 Broadway St Galveston, TX 77551","{'latitude': 29.2906869, 'longitude': -94.8247089}"
134,Schreiber Park,"3134 83rd St Galveston, TX 77554","{'latitude': 29.2597454041243, 'longitude': -94.8495257645845}"
135,Starbucks,"2931 Central City Blvd Randalls-Galveston #1031 Galveston, TX 77551","{'latitude': 29.269594, 'longitude': -94.83004211}"
136,El Sazon Katracho,"1302 39th St Galveston, TX 77550","{'latitude': 29.292429, 'longitude': -94.809227}"
137,Fruit Party Island,"4528 Broadway Galveston, TX 77550","{'latitude': 29.2935460446157, 'longitude': -94.8182267323136}"
138,Hard Times & Misery Saloon,"4302 Ave S Galveston, TX 77550","{'latitude': 29.2809382452295, 'longitude': -94.8106321644174}"
139,Dizzy Dorado,"3802 Cove View Blvd Galveston, TX 77554","{'latitude': 29.244618, 'longitude': -94.867832}"
140,Mike’s Beach Bar,"4220 Ghost Crab Ln Galveston, TX 77554","{'latitude': 29.2072832033466, 'longitude': -94.9295953398374}"
141,Burger King,"5815 Broadway St Galveston, TX 77551","{'latitude': 29.2889733521398, 'longitude': -94.8328404128551}"
142,The Island Cakery,"16708 Termini San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.1818, 'longitude': -94.97633}"
143,Little Caesars,"2806 61st St Galveston, TX 77551","{'latitude': 29.27111, 'longitude': -94.82815}"
144,It'z Nacho Bizness,"1002 47th St Galveston, TX 77551","{'latitude': 29.2927296536051, 'longitude': -94.819210767746}"
145,Spoony & Billy's,"16708 Termini-San Luis Pass Rd Ste C Jamaica Beach, TX 77554","{'latitude': 29.18195, 'longitude': -94.97466}"
146,Sand Castle Beach,"11745 San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.2281157, 'longitude': -94.896861}"
147,Panda Express,"6027 Stewart Rd Galveston, TX 77551","{'latitude': 29.2755, 'longitude': -94.83056}"
148,Sweet Home Alabama,"5806 Stewart Rd Galveston, TX 77551","{'latitude': 29.2769540724025, 'longitude': -94.8284573480487}"
149,Incredible Cakes,"4528 Ave S Up Galveston, TX 77551","{'latitude': 29.280269527858064, 'longitude': -94.8137734}"
150,Cordray Drug Store,"3827 Ave L Galveston, TX 77550","{'latitude': 29.29326, 'longitude': -94.80948}"
151,The Galley,"602 Seawolf Pkwy Galveston, TX 77554","{'latitude': 29.318473, 'longitude': -94.815028}"
152,Subway,"2302-A 61st St Galveston, TX 77551","{'latitude': 29.2764403089912, 'longitude': -94.8310272263167}"
153,Gloria's Lounge,"4126 Ave S Galveston, TX 77550","{'latitude': 29.281382, 'longitude': -94.8091866821051}"
154,Circle K,"16710 San Luis Pass Rd Jamaica Beach, TX 77554","{'latitude': 29.18137, 'longitude': -94.9762}"
155,1900 Storm Memorial,"4800 Seawall Blvd Galveston, TX 77551","{'latitude': 29.27442, 'longitude': -94.81448}"
156,Lee and Joe Jamail Bay Park,"1600 61st St Galveston, TX 77551","{'latitude': 29.2827607, 'longitude': -94.8345254}"
157,Wright Cuney Park and Recreation Center,"718 41st Str Galveston, TX 77550","{'latitude': 29.29708, 'longitude': -94.81285}"
158,Dolphin World Inc No 2,"8910 Seawall Blvd Galveston, TX 77554","{'latitude': 29.25173, 'longitude': -94.85317}"
159,Circle K,"6902 Seawall Blvd Galveston, TX 77551","{'latitude': 29.26268, 'longitude': -94.83428}"
160,Jones Park,"2226 71st St Galveston, TX 77551","{'latitude': 29.2721904155014, 'longitude': -94.84080612743753}"
161,Britton's Bistro,"Seawolf Park Blvd Galveston, TX","{'latitude': 29.3131588001007, 'longitude': -94.8189222054326}"
162,The Wet Whistle,"21502 San Luis Pass Galveston, TX 77554","{'latitude': 29.141583, 'longitude': -95.040493}"
163,Tortilleria La Bendicion De Dios,"914 37th St Galveston, TX 77550","{'latitude': 29.296402645258908, 'longitude': -94.80799190234238}"
164,Circle K,"1927 61st St Galveston, TX 77551","{'latitude': 29.27912, 'longitude': -94.83326}"
165,Captain's Landing,"200 Seawolf Pkwy TAMUG Galveston, TX 77554","{'latitude': 29.3159563866628, 'longitude': -94.8178551190202}"
166,The Shiver Shack,"League City, TX 77573","{'latitude': 29.50165, 'longitude': -95.05698}"
167,Bar 43,"4302 Ave S Galveston, TX 77550","{'latitude': 29.2809684, 'longitude': -94.8108363}"
168,The King's Court,"528 Gulf Blvd Freeport, TX 77541","{'latitude': 28.966447, 'longitude': -95.364985}"
169,Lion's Bar-B-Q,"18309 Fm 529 Katy, TX 77449","{'latitude': 29.87516, 'longitude': -95.77061}"
